Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Currency_pair,Base_currency,Quote_currency,Exchange_rate,Base_amount,Quote_amount,Base_amount_usd,Buy_sell,Fees_commission,Execution_venue,Trade_status,Trade_capture_stp,Settlement_stp,Settlement_status,Settlement_type,Legal_entity
FXS0012,Bacardi,17-Oct-2023,17-Oct-2023,17-Oct-2023,Y,19-Oct-2023,CUST000012,Chad Jones Pvt Ltd Company,OTC,Idika Goel Non-Banking Fin Co,Equity-HK,Forex,Forex-Spot,USD/VEF,USD,VEF,11.2298,3703776.73,41592495.37,3703776.73,Sell,37037.77,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0013,Kondorplus,31-Dec-2024,31-Dec-2024,31-Dec-2024,Y,02-Jan-2025,CUST000013,Sanya Zacharia Mutual Fund,Broker,Jennifer Campbell Mutual Fund,Forex-NY,Forex,Forex-Spot,DKK/JPY,DKK,JPY,20.2663,6773260.53,137269026.0,1015989.08,Buy,67732.61,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0014,Kondorplus,25-Nov-2025,25-Nov-2025,25-Nov-2025,Y,27-Nov-2025,CUST000014,Charles Mistry Brokers Ltd,Broker,Ms Janet Parkinson Brokers Ltd,Forex-NY,Forex,Forex-Spot,EGP/ZAR,EGP,ZAR,0.3581,155303122.95,55618559.53,3261365.58,Buy,1553031.23,EBS,New,N,Y,Y,Physical,BKUS
FXS0015,Bacardi,27-Jan-2023,27-Jan-2023,27-Jan-2023,Y,29-Jan-2023,CUST000015,Mike Allen Pub Ltd Company,Broker,Elliott Oliver Finance Company,FixedIncome-HK,Forex,Forex-Spot,ZAR/SGD,ZAR,SGD,0.0777,160389967.63,12455330.99,8981838.19,Buy,801949.84,EBS,Amended,Y,Y,Y,Physical,BKUS
FXS0016,Bacardi,24-Apr-2025,24-Apr-2025,24-Apr-2025,Y,26-Apr-2025,CUST000016,Parth Prasad Banking Ltd,OTC,Jack Martin Pvt Ltd Company,Equity-HK,Forex,Forex-Spot,CNY/INR,CNY,INR,10.989,14469663.84,159007584.56,2025752.94,Sell,144696.64,Bloomberg,New,N,Y,Y,Physical,BKUS
FXS0017,Kondorplus,25-Apr-2025,25-Apr-2025,25-Apr-2025,Y,27-Apr-2025,CUST000017,Charvi Naidu Pvt Ltd Company,Broker,Kristi Burton Mutual Fund,FixedIncome-NY,Forex,Forex-Spot,EGP/CNY,EGP,CNY,0.1674,265906041.59,44500835.71,5584026.87,Sell,2659060.42,EBS,New,Y,Y,Y,Physical,BKUS
FXS0018,Kondorplus,06-Mar-2023,06-Mar-2023,06-Mar-2023,Y,08-Mar-2023,CUST000018,Amelia Morris Mutual Fund,Broker,Michael Ramirez Banking Ltd,Equity-NY,Forex,Forex-Spot,CNY/INR,CNY,INR,12.0861,20304175.82,245398303.64,2842584.61,Sell,101520.88,Bloomberg,New,Y,Y,N,Physical,BKUS
FXS0019,Kondorplus,05-Feb-2024,05-Feb-2024,05-Feb-2024,Y,07-Feb-2024,CUST000019,Lakshit Grewal Finance Company,OTC,Ikbal Murthy Pub Ltd Company,FixedIncome-HK,Forex,Forex-Spot,VEF/AUD,VEF,AUD,0.1266,88135260.36,11155614.68,7050820.83,Sell,440676.3,Reutuers,Amended,Y,Y,Y,Physical,BKUS
FXS0020,Bacardi,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2025,CUST000020,Tara Gour Mutual Fund,OTC,Meghan Martinez Finance Company,Credit-LON,Forex,Forex-Spot,DKK/ZAR,DKK,ZAR,2.3396,15799160.39,36963693.12,2369874.06,Sell,78995.8,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0021,FXGO,27-May-2024,27-May-2024,27-May-2024,Y,29-May-2024,CUST000021,Angela Todd-Richardson Finance Company,Broker,Manthan Chokshi Brokers Ltd,Forex-NY,Forex,Forex-Spot,ZAR/JPY,ZAR,JPY,7.7462,122744190.99,950795046.78,6873674.7,Buy,1227441.91,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0022,FXGO,09-Apr-2025,09-Apr-2025,09-Apr-2025,Y,11-Apr-2025,CUST000022,Gregory Massey Banking Ltd,OTC,Ayush Char Non-Banking Fin Co,Equity-LON,Forex,Forex-Spot,DKK/EGP,DKK,EGP,7.112,19623987.73,139565374.83,2943598.16,Sell,196239.88,Reutuers,New,N,Y,Y,Physical,BKUS
FXS0023,Bacardi,07-Apr-2025,07-Apr-2025,07-Apr-2025,Y,09-Apr-2025,CUST000023,Isaac Jayaraman Mutual Fund,Broker,Edward Cordova Brokers Ltd,Equity-HK,Forex,Forex-Spot,EGP/EUR,EGP,EUR,0.0175,266389953.29,4672381.86,5594189.02,Sell,2663899.53,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0024,Kondorplus,29-Jun-2023,29-Jun-2023,29-Jun-2023,Y,01-Jul-2023,CUST000024,Natalie Preston Brokers Ltd,Broker,Patricia Rowley Mutual Fund,Equity-NY,Forex,Forex-Spot,USD/EGP,USD,EGP,47.1665,8340888.5,393410793.54,8340888.5,Buy,41704.44,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0025,FXGO,09-Nov-2023,09-Nov-2023,09-Nov-2023,Y,11-Nov-2023,CUST000025,Pamela Clarke-Lowe Banking Ltd,Broker,Mark Burgess-Webster Non-Banking Fin Co,Credit-HK,Forex,Forex-Spot,VEF/DKK,VEF,DKK,0.5624,50090840.58,28168862.18,4007267.25,Sell,250454.2,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0026,FXGO,03-Dec-2025,03-Dec-2025,03-Dec-2025,Y,05-Dec-2025,CUST000026,Adam Cooper Mutual Fund,OTC,Crystal Taylor Brokers Ltd,Forex-NY,Forex,Forex-Spot,SGD/DKK,SGD,DKK,5.3012,2165017.45,11477184.51,1688713.61,Buy,10825.09,EBS,New,Y,Y,Y,Physical,BKUS
FXS0027,FXGO,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2025,CUST000027,Matthew Varughese Brokers Ltd,OTC,Kala Bora Non-Banking Fin Co,Credit-LON,Forex,Forex-Spot,USD/GBP,USD,GBP,0.8893,3766588.27,3349494.26,3766588.27,Buy,37665.88,EBS,Amended,N,Y,Y,Physical,BKUS
FXS0028,Bacardi,29-Nov-2024,29-Nov-2024,29-Nov-2024,Y,01-Dec-2024,CUST000028,Dalton Ortiz Finance Company,OTC,Jamie Jones Banking Ltd,FixedIncome-HK,Forex,Forex-Spot,SGD/ZAR,SGD,ZAR,14.2051,8191445.72,116360374.03,6389327.66,Buy,40957.23,EBS,New,Y,Y,Y,Physical,BKUS
FXS0029,Kondorplus,21-Jun-2023,21-Jun-2023,21-Jun-2023,Y,23-Jun-2023,CUST000029,Norman Gough Mutual Fund,OTC,Kara Scott Non-Banking Fin Co,Forex-NY,Forex,Forex-Spot,CNY/SGD,CNY,SGD,0.1593,31485176.62,5015067.92,4407924.73,Buy,157425.88,EBS,New,Y,Y,Y,Physical,BKUS
FXS0030,FXGO,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,15-Nov-2025,CUST000030,Xiti Karpe Pvt Ltd Company,Broker,Christopher Key Pvt Ltd Company,Equity-NY,Forex,Forex-Spot,CNY/SGD,CNY,SGD,0.1768,16909680.4,2990226.68,2367355.26,Buy,169096.8,EBS,New,N,Y,Y,Physical,BKUS
FXS0031,FXGO,07-Aug-2024,07-Aug-2024,07-Aug-2024,Y,09-Aug-2024,CUST000031,Sachi Rama Non-Banking Fin Co,Broker,Rosemary Rose Mutual Fund,Equity-HK,Forex,Forex-Spot,CNY/JPY,CNY,JPY,23.6611,36790715.81,870509589.96,5150700.21,Buy,367907.16,EBS,New,N,Y,Y,Physical,BKUS
FXS0032,FXGO,15-Dec-2023,15-Dec-2023,15-Dec-2023,Y,17-Dec-2023,CUST000032,Anusha Agrawal Banking Ltd,Broker,Stacey Smith Banking Ltd,FixedIncome-HK,Forex,Forex-Spot,DKK/EUR,DKK,EUR,0.1413,56735057.43,8015073.57,8510258.61,Buy,567350.57,EBS,New,Y,Y,Y,Physical,BKUS
FXS0033,Bacardi,22-Jun-2023,22-Jun-2023,22-Jun-2023,Y,24-Jun-2023,CUST000033,Josephine Warren Pub Ltd Company,OTC,Kathy Rivera Finance Company,Forex-LON,Forex,Forex-Spot,USD/SGD,USD,SGD,1.1615,6799138.67,7897491.79,6799138.67,Buy,33995.69,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0034,Bacardi,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,30-Nov-2025,CUST000034,Victoria Arnold Mutual Fund,OTC,Lucky Batta Banking Ltd,Forex-LON,Forex,Forex-Spot,DKK/CNY,DKK,CNY,0.9347,21477068.0,20074996.36,3221560.2,Sell,214770.68,EBS,New,N,Y,Y,Physical,BKUS
FXS0035,FXGO,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2025,CUST000035,Mr Bradley Khan Finance Company,Broker,Gerald Taylor Banking Ltd,FixedIncome-NY,Forex,Forex-Spot,ZAR/INR,ZAR,INR,5.2225,30323885.12,158365613.79,1698137.57,Buy,151619.43,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0036,Bacardi,10-Mar-2025,10-Mar-2025,10-Mar-2025,Y,12-Mar-2025,CUST000036,Yagnesh Dhingra Mutual Fund,OTC,Robert Smith-Thompson Brokers Ltd,FixedIncome-HK,Forex,Forex-Spot,VEF/EGP,VEF,EGP,4.1172,113615686.39,467775813.15,9089254.91,Buy,1136156.86,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0037,Bacardi,22-Sep-2023,22-Sep-2023,22-Sep-2023,Y,24-Sep-2023,CUST000037,Samarth Mangat Mutual Fund,Broker,Lauren Torres Mutual Fund,Equity-HK,Forex,Forex-Spot,EGP/VEF,EGP,VEF,0.2262,136692645.95,30925525.99,2870545.56,Sell,1366926.46,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0038,FXGO,09-Oct-2024,09-Oct-2024,09-Oct-2024,Y,11-Oct-2024,CUST000038,Jennifer Reed Mutual Fund,Broker,Brittany Aguilar Brokers Ltd,FixedIncome-HK,Forex,Forex-Spot,DKK/CAD,DKK,CAD,0.2313,60983489.64,14106696.82,9147523.45,Sell,609834.9,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0039,FXGO,22-May-2024,22-May-2024,22-May-2024,Y,24-May-2024,CUST000039,Anthony Sant Pvt Ltd Company,OTC,Susan Esparza Brokers Ltd,Equity-HK,Forex,Forex-Spot,SGD/JPY,SGD,JPY,127.0407,5070096.14,644108656.64,3954674.99,Buy,25350.48,EBS,New,Y,Y,Y,Physical,BKUS
FXS0040,Bacardi,26-Jan-2024,26-Jan-2024,26-Jan-2024,Y,28-Jan-2024,CUST000040,Dr Robin Johnson Non-Banking Fin Co,OTC,Theresa Thomas Non-Banking Fin Co,FixedIncome-HK,Forex,Forex-Spot,VEF/DKK,VEF,DKK,0.4746,17478372.75,8295789.75,1398269.82,Buy,174783.73,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0041,FXGO,27-Jul-2023,27-Jul-2023,27-Jul-2023,Y,29-Jul-2023,CUST000041,Nicole Page Mutual Fund,OTC,Ranbir Ben Finance Company,Forex-NY,Forex,Forex-Spot,EGP/USD,EGP,USD,0.0209,129300997.77,2705240.56,2715320.95,Sell,1293009.98,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0042,FXGO,19-Aug-2025,19-Aug-2025,19-Aug-2025,Y,21-Aug-2025,CUST000042,Maria Hyde Brokers Ltd,Broker,Yash Ben Brokers Ltd,Credit-LON,Forex,Forex-Spot,VEF/EUR,VEF,EUR,0.0648,95505313.71,6187552.97,7640425.1,Sell,477526.57,EBS,New,Y,Y,Y,Physical,BKUS
FXS0043,FXGO,26-Jun-2025,26-Jun-2025,26-Jun-2025,Y,28-Jun-2025,CUST000043,Neelima Kulkarni Mutual Fund,Broker,Neha Zacharia Non-Banking Fin Co,FixedIncome-LON,Forex,Forex-Spot,VEF/ZAR,VEF,ZAR,1.3101,26274428.87,34423199.86,2101954.31,Buy,131372.14,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0044,Bacardi,04-Feb-2025,04-Feb-2025,04-Feb-2025,Y,06-Feb-2025,CUST000044,Larry Lucas Banking Ltd,Broker,Josephine Andrews Pub Ltd Company,Equity-HK,Forex,Forex-Spot,USD/JPY,USD,JPY,136.2131,3219884.7,438590533.66,3219884.7,Buy,32198.85,Reutuers,New,N,Y,Y,Physical,BKUS
FXS0045,FXGO,12-Jun-2023,12-Jun-2023,12-Jun-2023,Y,14-Jun-2023,CUST000045,Pushti Seth Finance Company,Broker,Lisa Pearson Brokers Ltd,Credit-NY,Forex,Forex-Spot,VEF/EUR,VEF,EUR,0.0648,62138459.62,4028811.85,4971076.77,Buy,621384.6,EBS,New,Y,Y,Y,Physical,BKUS
FXS0046,FXGO,11-Aug-2025,11-Aug-2025,11-Aug-2025,Y,13-Aug-2025,CUST000046,Nitesh Barman Brokers Ltd,Broker,Dr. David Burns Pvt Ltd Company,FixedIncome-HK,Forex,Forex-Spot,CNY/GBP,CNY,GBP,0.1137,57554272.29,6545857.71,8057598.12,Buy,575542.72,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0047,Kondorplus,27-Nov-2025,27-Nov-2025,27-Nov-2025,N,29-Nov-2025,CUST000047,Gary Jackson Mutual Fund,OTC,Liam Prabhu Banking Ltd,FixedIncome-LON,Forex,Forex-Spot,DKK/EUR,DKK,EUR,0.1265,37713012.37,4772159.28,5656951.86,Buy,377130.12,EBS,New,Y,Y,Y,Physical,BKUS
FXS0048,Bacardi,06-Apr-2023,06-Apr-2023,06-Apr-2023,Y,08-Apr-2023,CUST000048,Bhavani Luthra Non-Banking Fin Co,OTC,Victoria Malone Pvt Ltd Company,FixedIncome-HK,Forex,Forex-Spot,DKK/GBP,DKK,GBP,0.1057,65160854.45,6888322.12,9774128.17,Buy,651608.54,EBS,New,Y,Y,Y,Physical,BKUS
FXS0049,Kondorplus,22-Oct-2024,22-Oct-2024,22-Oct-2024,Y,24-Oct-2024,CUST000049,Kristen Perez Mutual Fund,OTC,Kimberly Johnson Banking Ltd,Credit-NY,Forex,Forex-Spot,EGP/USD,EGP,USD,0.0201,168604035.27,3394596.13,3540684.74,Buy,843020.18,Bloomberg,New,N,Y,Y,Physical,BKUS
FXS0050,FXGO,04-Nov-2025,04-Nov-2025,04-Nov-2025,Y,06-Nov-2025,CUST000050,Upasna Badal Finance Company,Broker,Sheila Dodson Banking Ltd,Credit-LON,Forex,Forex-Spot,VEF/USD,VEF,USD,0.079,80385181.21,6349460.68,6430814.5,Buy,803851.81,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0051,Bacardi,28-Dec-2023,28-Dec-2023,28-Dec-2023,Y,30-Dec-2023,CUST000051,Ashley Harris Pvt Ltd Company,OTC,Nicholas Rodriguez Pvt Ltd Company,Forex-NY,Forex,Forex-Spot,ZAR/EGP,ZAR,EGP,2.9321,56653184.21,166115515.93,3172578.32,Sell,283265.92,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0052,Bacardi,30-Mar-2023,30-Mar-2023,30-Mar-2023,Y,01-Apr-2023,CUST000052,Reva Butala Finance Company,Broker,Jenna Jones Brokers Ltd,FixedIncome-NY,Forex,Forex-Spot,EGP/AUD,EGP,AUD,0.0299,450152561.29,13474565.83,9453203.79,Sell,2250762.81,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0053,Bacardi,26-Jul-2023,26-Jul-2023,26-Jul-2023,Y,28-Jul-2023,CUST000053,Parth Jhaveri Mutual Fund,OTC,Darrell Stone Pvt Ltd Company,FixedIncome-HK,Forex,Forex-Spot,CNY/JPY,CNY,JPY,17.6744,26184213.47,462789146.93,3665789.89,Sell,261842.13,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0054,Kondorplus,23-Feb-2023,23-Feb-2023,23-Feb-2023,Y,25-Feb-2023,CUST000054,Karan D’Alia Mutual Fund,OTC,Edward Pratt Non-Banking Fin Co,Equity-LON,Forex,Forex-Spot,ZAR/AUD,ZAR,AUD,0.0813,143272705.83,11652542.5,8023271.53,Sell,716363.53,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0055,Kondorplus,12-May-2025,12-May-2025,12-May-2025,Y,14-May-2025,CUST000055,Zarna Bedi Brokers Ltd,OTC,William Ho Pvt Ltd Company,FixedIncome-LON,Forex,Forex-Spot,EUR/AUD,EUR,AUD,1.6957,8292367.55,14061206.98,9121604.31,Sell,41461.84,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0056,FXGO,25-Aug-2025,25-Aug-2025,25-Aug-2025,Y,27-Aug-2025,CUST000056,Chandani Keer Brokers Ltd,OTC,Samantha Perry Pvt Ltd Company,Equity-NY,Forex,Forex-Spot,VEF/AUD,VEF,AUD,0.1056,13464445.04,1421603.91,1077155.6,Sell,67322.23,EBS,New,Y,Y,Y,Physical,BKUS
FXS0057,FXGO,01-Dec-2025,01-Dec-2025,01-Dec-2025,Y,03-Dec-2025,CUST000057,Christian Rodriguez Pvt Ltd Company,Broker,Unnati Chowdhury Pub Ltd Company,FixedIncome-LON,Forex,Forex-Spot,DKK/INR,DKK,INR,11.2123,40132929.34,449983377.09,6019939.4,Buy,200664.65,EBS,New,Y,Y,Y,Physical,BKUS
FXS0058,FXGO,26-Mar-2025,26-Mar-2025,26-Mar-2025,Y,28-Mar-2025,CUST000058,John Greene Banking Ltd,Broker,Samantha Storey Mutual Fund,Equity-NY,Forex,Forex-Spot,EGP/DKK,EGP,DKK,0.1364,431462690.71,58850058.24,9060716.5,Buy,2157313.45,Bloomberg,New,N,Y,Y,Physical,BKUS
FXS0059,Bacardi,05-Jun-2023,05-Jun-2023,05-Jun-2023,Y,07-Jun-2023,CUST000059,Wridesh Parsa Non-Banking Fin Co,OTC,Kelly Bradshaw Pub Ltd Company,Forex-NY,Forex,Forex-Spot,USD/GBP,USD,GBP,0.8713,9224700.95,8037199.37,9224700.95,Buy,92247.01,Reutuers,New,Y,Y,N,Physical,BKUS
FXS0060,Bacardi,28-Jan-2025,28-Jan-2025,28-Jan-2025,Y,30-Jan-2025,CUST000060,Michelle Mcknight Non-Banking Fin Co,OTC,Shannon Faulkner Pvt Ltd Company,FixedIncome-LON,Forex,Forex-Spot,DKK/GBP,DKK,GBP,0.1334,41679651.81,5561638.3,6251947.77,Sell,416796.52,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0061,FXGO,23-Oct-2024,23-Oct-2024,23-Oct-2024,Y,25-Oct-2024,CUST000061,Rayaan Kamdar Finance Company,OTC,Tara Brown MD Pub Ltd Company,FixedIncome-NY,Forex,Forex-Spot,VEF/CNY,VEF,CNY,0.526,10330223.35,5433981.12,826417.87,Sell,51651.12,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0062,Kondorplus,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2025,CUST000062,Stephen Mccarthy Finance Company,Broker,Girish Jhaveri Mutual Fund,Forex-LON,Forex,Forex-Spot,VEF/CNY,VEF,CNY,0.6291,87516712.31,55059391.73,7001336.98,Buy,437583.56,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0063,FXGO,27-Aug-2024,27-Aug-2024,27-Aug-2024,Y,29-Aug-2024,CUST000063,Maureen Steele Mutual Fund,Broker,Dr Dylan Newton Brokers Ltd,Equity-NY,Forex,Forex-Spot,CNY/AUD,CNY,AUD,0.2063,5469868.09,1128220.48,765781.53,Sell,54698.68,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0064,FXGO,21-Oct-2024,21-Oct-2024,21-Oct-2024,Y,23-Oct-2024,CUST000064,Russell Mathews Brokers Ltd,OTC,Terry Campbell Finance Company,Credit-LON,Forex,Forex-Spot,DKK/EUR,DKK,EUR,0.1536,29242048.42,4492642.5,4386307.26,Buy,292420.48,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0065,Kondorplus,31-Jan-2025,31-Jan-2025,31-Jan-2025,Y,02-Feb-2025,CUST000065,Leela Chaudry Non-Banking Fin Co,OTC,Jason Blackwell Finance Company,Forex-HK,Forex,Forex-Spot,CNY/JPY,CNY,JPY,23.4514,24806317.73,581744012.35,3472884.48,Buy,248063.18,EBS,New,Y,Y,Y,Physical,BKUS
FXS0066,FXGO,22-Oct-2025,22-Oct-2025,22-Oct-2025,Y,24-Oct-2025,CUST000066,Heather Pearson Pvt Ltd Company,Broker,Dr Irene Bentley Brokers Ltd,Forex-HK,Forex,Forex-Spot,CNY/USD,CNY,USD,0.1437,17734308.35,2547772.85,2482803.17,Sell,88671.54,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0067,Bacardi,08-Dec-2023,08-Dec-2023,08-Dec-2023,Y,10-Dec-2023,CUST000067,Ashley Cline Mutual Fund,Broker,Mrs Jill Adams Non-Banking Fin Co,Forex-LON,Forex,Forex-Spot,USD/VEF,USD,VEF,13.2285,9135488.92,120849134.23,9135488.92,Sell,91354.89,Reutuers,New,N,Y,Y,Physical,BKUS
FXS0068,Bacardi,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,28-Nov-2025,CUST000068,Stephanie Roberson Pub Ltd Company,OTC,Jack Lee Pvt Ltd Company,Forex-LON,Forex,Forex-Spot,VEF/AUD,VEF,AUD,0.1171,85815822.67,10046873.09,6865265.81,Sell,429079.11,EBS,New,Y,Y,Y,Physical,BKUS
FXS0069,Bacardi,19-Mar-2024,19-Mar-2024,19-Mar-2024,Y,21-Mar-2024,CUST000069,Rebecca Williams Mutual Fund,Broker,Mary Knight Pub Ltd Company,Forex-LON,Forex,Forex-Spot,DKK/SGD,DKK,SGD,0.2068,60879874.42,12591811.4,9131981.16,Sell,608798.74,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0070,FXGO,23-Oct-2025,23-Oct-2025,23-Oct-2025,Y,25-Oct-2025,CUST000070,Carl Chambers Finance Company,OTC,Erin Myers Banking Ltd,Credit-HK,Forex,Forex-Spot,ZAR/EUR,ZAR,EUR,0.0491,26487880.27,1299921.09,1483321.3,Sell,132439.4,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0071,FXGO,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2025,CUST000071,James Webb Pvt Ltd Company,Broker,Mandy Russell Non-Banking Fin Co,FixedIncome-NY,Forex,Forex-Spot,SGD/VEF,SGD,VEF,9.8821,3640154.1,35972339.87,2839320.2,Sell,36401.54,EBS,New,Y,Y,Y,Physical,BKUS
FXS0072,FXGO,04-Sep-2023,04-Sep-2023,04-Sep-2023,Y,06-Sep-2023,CUST000072,Vinaya Sen Brokers Ltd,Broker,Antony Law Finance Company,Credit-HK,Forex,Forex-Spot,ZAR/CAD,ZAR,CAD,0.0802,134975044.81,10823419.59,7558602.51,Sell,674875.22,Reutuers,New,Y,Y,Y,Physical,BKUS
