Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Issuer_name,Bond_type,Bond_seniority,Bond_rating,FaceValue,Price,Clean_price,coupon_type,coupon_rate,coupon_freq,day_count,Issue_date,Maturity_date,Buy_sell,Trade_quantity,Trade_currency,Gross_amount,Gross_amount_USD,Net_amount,Fees_commission,Next_coupon_date,Bond_yield,Benchmark_rate,Accrued_int,Execution_venue,Trade_status,Trade_capture_stp,Settlement_stp,Settlement_status,Settlement_type,Legal_entity,Portfolio_strategy
FIC0015,Murex,11-Dec-2024,11-Dec-2024,12-Dec-2024,Y,16-Dec-2025,CUST000015,Yashoda Kunda Pvt Ltd Company,OTC,Mandy Mills Pvt Ltd Company,Equity-NY,FixedIncome,Bonds,Jacob Davies Finance Company,Soverign-StateGovt,Senior Secured,BB ,10000,11588.39,11588.39,Floating Rate,4.1,Annual,Actual/Actual (ISDA),2023-12-11,2032-12-11,Sell,34057,USD,394665798.23,394665798.23,394665798.23,394665.8,2025-12-11,0.00035380238324737086,SONIA,41000.0,OTC,New,Y,Y,N,Physical,BKUS,Diversify
FIC0016,Calypso,19-Jan-2024,19-Jan-2024,20-Jan-2024,Y,24-Feb-2024,CUST000016,Derek Foster Banking Ltd,CCP,Mary Nicholls Pvt Ltd Company,Forex-LON,FixedIncome,Secured Notes,Gordon Taylor Mutual Fund,PublicLtd-Medium,Senior Unsecured,AAA,100,114.34,114.34,Fixed Coupon,9.8,Quarterly,30E/360,2023-05-19,2027-05-19,Buy,10197,USD,1165924.98,1165924.98,1165924.98,582.96,2024-02-19,0.08570928808815813,SONIA,980.0000000000001,Exchange,New,N,Y,Y,Physical,BKUS,Active
FIC0017,Murex,23-Oct-2024,23-Oct-2024,24-Oct-2024,Y,28-Nov-2024,CUST000017,Stephen Whittaker Non-Banking Fin Co,OTC,Kerry Clark Pub Ltd Company,Forex-HK,FixedIncome,Bonds,Chavvi Dhar Banking Ltd,Soverign-CG,Senior Secured,AAA,1000,1069.24,1069.24,Floating Rate,5.9,Semiannual,Actual/360,2023-11-23,2033-11-23,Buy,19280,JPY,20614947.2,140181.64,20614947.2,20614.95,2024-11-23,0.005517937974636191,SONIA,5900.0,OTC,New,Y,Y,Y,Physical,BKUS,Diversify
FIC0018,Murex,16-Nov-2023,16-Nov-2023,17-Nov-2023,Y,21-Feb-2024,CUST000018,Amy Heath Pub Ltd Company,Broker,Ashley Hernandez Mutual Fund,Credit-LON,FixedIncome,Bonds,Jennifer Miranda Finance Company,Soverign-StateGovt,Senior Unsecured,A,10000,11492.15,11492.15,Step-up Coupon,9.9,Semiannual,Actual/365,2023-02-16,2032-02-16,Sell,49633,GBP,570389880.95,712987351.19,570389880.95,570389.88,2024-02-16,0.0008614576036685912,SOFR,99000.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0019,BloomTOMS,24-Mar-2023,24-Mar-2023,25-Mar-2023,Y,29-Aug-2023,CUST000019,Francesca Powell Mutual Fund,CCP,Ridhi Dutt Finance Company,FixedIncome-LON,FixedIncome,Secured Notes,Paul Morrison Brokers Ltd,Quasi-Govt,Mezzanine,BBB,10000,12246.52,12246.52,Fixed Coupon,5.3,Semiannual,Actual/365,2023-02-24,2027-02-24,Sell,1259,GBP,15418368.68,19272960.85,15418368.68,7709.18,2023-08-24,0.0004327760049385458,ESTR,53000.0,Exchange,New,Y,Y,N,Physical,BKUS,Diversify
FIC0020,Riskone,15-Oct-2024,15-Oct-2024,16-Oct-2024,Y,20-Feb-2025,CUST000020,Noah Archer Non-Banking Fin Co,OTC,Aaron Huerta Pvt Ltd Company,FixedIncome-HK,FixedIncome,Secured Notes,Antonio Fox Brokers Ltd,PublicLtd-Large,Senior Unsecured,AAA,10000,7880.36,7880.36,Fixed Coupon,4.3,Semiannual,Actual/Actual (ISDA),2024-02-15,2027-02-15,Buy,15514,JPY,122255905.04,831340.15,122255905.04,61127.95,2025-02-15,0.000545660350542361,MIBOR,43000.0,OTC,New,Y,Y,Y,Physical,BKUS,Passive
FIC0021,BloomTOMS,11-Apr-2025,11-Apr-2025,12-Apr-2025,Y,16-May-2025,CUST000021,Sara Lee Finance Company,Broker,Dr. Jared Washington Mutual Fund,Forex-NY,FixedIncome,Secured Notes,Waida Mane Banking Ltd,Soverign-StateGovt,Senior Unsecured,A,100,111.74,111.74,Fixed Coupon,9.6,Monthly,30E/360,2024-07-11,2029-07-11,Sell,23753,USD,2654160.22,2654160.22,2654160.22,1327.08,2025-05-11,0.08591372829783425,MIBOR,960.0,MTF,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0022,Murex,23-Dec-2024,23-Dec-2024,24-Dec-2024,Y,28-Apr-2025,CUST000022,Mrs Jennifer Pearce Finance Company,Broker,Marcus Delgado Brokers Ltd,Credit-LON,FixedIncome,NCD,Robert Robinson Banking Ltd,PublicLtd-Large,Subordinated,AAA,100,115.22,115.22,Zero Coupon,9.0,Semiannual,30E/360,2024-04-23,2031-04-23,Sell,38972,EUR,4490353.84,4939389.22,4490353.84,4490.35,2025-04-23,0.0781114389862871,ESTR,900.0,MTF,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0023,Murex,15-Jun-2023,15-Jun-2023,16-Jun-2023,Y,20-Jan-2024,CUST000023,Allan Hall Banking Ltd,CCP,Gagan Barman Finance Company,Forex-NY,FixedIncome,NCD,Adam Perkins Banking Ltd,Quasi-Govt,Subordinated,AAA,1000,832.98,832.98,Fixed Coupon,3.4,Annual,Actual/365,2023-01-15,2031-01-15,Buy,8901,USD,7414354.98,7414354.98,7414354.98,3707.18,2024-01-15,0.0040817306537972095,MIBOR,3400.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0024,Riskone,16-May-2025,16-May-2025,17-May-2025,Y,21-Jun-2025,CUST000024,Margaret Sherman MD Banking Ltd,Broker,Rebecca Joseph Banking Ltd,FixedIncome-LON,FixedIncome,NCD,Ashley Hanna Pvt Ltd Company,PublicLtd-Medium,Senior Unsecured,BBB,1000,1216.07,1216.07,Fixed Coupon,5.5,Monthly,30/360,2024-06-16,2030-06-16,Sell,28129,USD,34206833.03,34206833.03,34206833.03,17103.42,2025-06-16,0.004522765959196428,SONIA,5500.0,MTF,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0025,Calypso,17-Oct-2025,17-Oct-2025,18-Oct-2025,Y,22-Feb-2026,CUST000025,Yadavi Roy Brokers Ltd,CCP,Hredhaan Raman Non-Banking Fin Co,Equity-LON,FixedIncome,Bonds,Aahana Walia Banking Ltd,PublicLtd-Large,Senior Unsecured,BBB,100,117.53,117.53,Fixed Coupon,5.9,Semiannual,Actual/360,2025-08-17,2033-08-17,Sell,48282,USD,5674583.46,5674583.46,5674583.46,5674.58,2026-02-17,0.05019994894920446,MIBOR,590.0,MTF,New,N,Y,N,Physical,BKUS,Active
FIC0026,BloomTOMS,21-Apr-2025,21-Apr-2025,22-Apr-2025,Y,26-May-2025,CUST000026,Lonnie Patterson Pvt Ltd Company,Broker,Pranit Choudhury Mutual Fund,Forex-HK,FixedIncome,Bonds,Daniel Yu Pvt Ltd Company,Soverign-StateGovt,Senior Secured,AAA,1000,707.09,707.09,Floating Rate,9.2,Monthly,30/360,2024-07-21,2033-07-21,Buy,44235,DKK,31278126.15,4691718.92,31278126.15,31278.13,2025-05-21,0.013011073554992997,ESTR,9200.0,MTF,New,Y,Y,Y,Physical,BKUS,Active
FIC0027,Murex,01-Nov-2023,01-Nov-2023,02-Nov-2023,Y,06-Jan-2024,CUST000027,Ronald Reed Non-Banking Fin Co,OTC,Georgia Carter Brokers Ltd,FixedIncome-HK,FixedIncome,Bonds,Donna Kelley Non-Banking Fin Co,Quasi-Govt,Senior Secured,AAA,10000,11564.75,11564.75,Fixed Coupon,3.0,Semiannual,30/360,2023-01-01,2032-01-01,Buy,47489,USD,549198412.75,549198412.75,549198412.75,274599.21,2024-01-01,0.00025940897987418665,SOFR,30000.0,OTC,New,N,Y,Y,Physical,BKUS,Active
FIC0028,Calypso,09-Jan-2023,09-Jan-2023,10-Jan-2023,Y,14-Feb-2023,CUST000028,Rishi Oommen Pvt Ltd Company,CCP,Henry Reddy Mutual Fund,Equity-HK,FixedIncome,Bonds,Wyatt Jain Brokers Ltd,Soverign-StateGovt,Subordinated,A,100,129.39,129.39,Fixed Coupon,4.2,Monthly,Actual/360,2022-08-09,2031-08-09,Sell,34663,USD,4485045.57,4485045.57,4485045.57,4485.05,2023-02-09,0.032460004637143526,MIBOR,420.0,Exchange,New,N,Y,Y,Physical,BKUS,Passive
FIC0029,BloomTOMS,24-Nov-2025,24-Nov-2025,25-Nov-2025,Y,29-Jan-2026,CUST000029,Tiffany Stevens Non-Banking Fin Co,CCP,Jay Brewer Pvt Ltd Company,Equity-NY,FixedIncome,Secured Notes,Brett Cox-Jones Pvt Ltd Company,PublicLtd-Large,Subordinated,B,10000,11525.68,11525.68,Fixed Coupon,8.1,Quarterly,Actual/Actual (ICMA),2025-07-24,2028-07-24,Sell,1326,USD,15283051.68,15283051.68,15283051.68,7641.53,2026-01-24,0.0007027784911606082,SOFR,81000.0,MTF,New,Y,Y,N,Physical,BKUS,Active
FIC0030,BloomTOMS,12-Jan-2024,12-Jan-2024,13-Jan-2024,Y,17-Apr-2024,CUST000030,Shane Adkins Banking Ltd,Broker,Harshil Raju Non-Banking Fin Co,Credit-NY,FixedIncome,Bonds,Triveni Manda Banking Ltd,Soverign-CG,Senior Secured,AAA,10000,9469.41,9469.41,Step-up Coupon,4.9,Quarterly,Actual/365,2023-07-12,2031-07-12,Sell,23829,USD,225646570.89,225646570.89,225646570.89,112823.29,2024-04-12,0.0005174556809769564,SOFR,49000.0,Exchange,New,Y,Y,Y,Physical,BKUS,Diversify
FIC0031,Riskone,25-Jul-2025,25-Jul-2025,26-Jul-2025,Y,30-Aug-2025,CUST000031,Beverly Hill Non-Banking Fin Co,CCP,Madison Mcdaniel Non-Banking Fin Co,Forex-NY,FixedIncome,Bonds,Christine Reeves Non-Banking Fin Co,Soverign-CG,Senior Secured,AAA,10000,10748.02,10748.02,Fixed Coupon,9.9,Quarterly,30E/360,2024-11-25,2033-11-25,Sell,25376,USD,272741755.52,272741755.52,272741755.52,272741.76,2025-08-25,0.0009210998863046403,ESTR,99000.0,Exchange,New,Y,Y,Y,Physical,BKUS,Active
FIC0032,Murex,03-Mar-2025,03-Mar-2025,04-Mar-2025,Y,08-Apr-2025,CUST000032,Champak Dora Pvt Ltd Company,CCP,Tiffany Armstrong Brokers Ltd,Credit-NY,FixedIncome,Bonds,Jack Pau Mutual Fund,PublicLtd-Medium,Senior Secured,B,10000,10815.92,10815.92,Fixed Coupon,6.9,Quarterly,30E/360,2024-04-03,2034-04-03,Sell,10464,USD,113177786.88,113177786.88,113177786.88,113177.79,2025-04-03,0.0006379485055362836,SOFR,69000.0,MTF,New,Y,Y,Y,Physical,BKUS,Diversify
FIC0033,Riskone,27-Oct-2023,27-Oct-2023,28-Oct-2023,Y,02-Dec-2023,CUST000033,Gopal Johal Pub Ltd Company,Broker,Hemangini Dutta Finance Company,Credit-NY,FixedIncome,Bonds,Christine Ewing Pub Ltd Company,PublicLtd-Medium,Senior Unsecured,AAA,1000,1188.94,1188.94,Floating Rate,8.1,Annual,Actual/360,2022-11-27,2032-11-27,Sell,27425,GBP,32606679.5,40758349.38,32606679.5,32606.68,2023-11-27,0.006812791225797769,ESTR,8100.0,Exchange,New,Y,Y,Y,Physical,BKUS,Active
FIC0034,Riskone,23-Jan-2024,23-Jan-2024,24-Jan-2024,Y,28-Mar-2024,CUST000034,Zehaan Bahri Mutual Fund,OTC,Mrs. Michele Daugherty Pvt Ltd Company,Equity-NY,FixedIncome,Bonds,Joshua Jones Pvt Ltd Company,PublicLtd-Large,Senior Unsecured,B,100,84.97,84.97,Floating Rate,3.1,Annual,Actual/365,2023-03-23,2031-03-23,Buy,6542,USD,555873.74,555873.74,555873.74,555.87,2024-03-23,0.03648346475226551,MIBOR,310.0,OTC,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0035,Murex,27-Jan-2023,27-Jan-2023,28-Jan-2023,Y,04-Mar-2023,CUST000035,Damyanti Bhatnagar Banking Ltd,OTC,Rebecca Reid Banking Ltd,FixedIncome-NY,FixedIncome,Bonds,Thomas Hogan Finance Company,Quasi-Govt,Subordinated,B,1000,1109.31,1109.31,Fixed Coupon,3.7,Monthly,30E/360,2022-07-27,2031-07-27,Buy,38764,USD,43001292.84,43001292.84,43001292.84,21500.65,2023-02-27,0.0033354066942513816,SOFR,3700.0,OTC,New,N,Y,Y,Physical,BKUS,Passive
FIC0036,Calypso,29-Oct-2025,29-Oct-2025,30-Oct-2025,Y,03-Dec-2025,CUST000036,Amanda Heath Brokers Ltd,CCP,Naksh Ganesan Mutual Fund,Credit-HK,FixedIncome,Bonds,Louis Hopkins Non-Banking Fin Co,PublicLtd-Large,Senior Secured,AAA,100,129.88,129.88,Fixed Coupon,7.9,Monthly,Actual/360,2024-11-29,2033-11-29,Buy,36637,USD,4758413.56,4758413.56,4758413.56,4758.41,2025-11-28,0.060825377271327384,SOFR,790.0,Exchange,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0037,BloomTOMS,08-Oct-2025,08-Oct-2025,09-Oct-2025,Y,13-Oct-2026,CUST000037,Elizabeth Padilla Mutual Fund,OTC,Ann Peterson Non-Banking Fin Co,Forex-LON,FixedIncome,NCD,Amanda Rowland Banking Ltd,Soverign-CG,Senior Secured,A,1000,1252.6,1252.6,Fixed Coupon,6.7,Annual,Actual/365,2024-10-08,2031-10-08,Buy,49300,USD,61753180.0,61753180.0,61753180.0,30876.59,2026-10-08,0.005348874341369951,ESTR,6700.0,OTC,New,Y,Y,N,Physical,BKUS,Rebalance
FIC0038,BloomTOMS,10-Feb-2023,10-Feb-2023,11-Feb-2023,Y,15-Apr-2023,CUST000038,Dillon Wilson Mutual Fund,CCP,Gayathri Bobal Pvt Ltd Company,FixedIncome-LON,FixedIncome,Bonds,Richard Henson Banking Ltd,Soverign-StateGovt,Senior Secured,A,10000,11388.76,11388.76,Floating Rate,5.2,Quarterly,Actual/Actual (ISDA),2022-07-10,2031-07-10,Sell,31053,USD,353655164.28,353655164.28,353655164.28,176827.58,2023-04-10,0.00045659053312213096,ESTR,52000.0,MTF,New,N,Y,Y,Physical,BKUS,Passive
FIC0039,BloomTOMS,01-Oct-2025,01-Oct-2025,02-Oct-2025,Y,06-Nov-2025,CUST000039,Mrs Lydia Birch Finance Company,Broker,Karen Stephens Mutual Fund,Equity-LON,FixedIncome,NCD,Barbara Andrews Pub Ltd Company,Soverign-CG,Subordinated,AAA,100,115.33,115.33,Fixed Coupon,4.7,Monthly,Actual/365,2025-05-01,2032-05-01,Buy,39288,GBP,4531085.04,5663856.3,4531085.04,2265.54,2025-11-01,0.040752622908176536,SONIA,470.0,Exchange,New,Y,N,Y,Physical,BKUS,Rebalance
FIC0040,Murex,06-Dec-2024,06-Dec-2024,07-Dec-2024,Y,11-Jun-2025,CUST000040,Michelle Elliott Mutual Fund,CCP,Graham Hartley Banking Ltd,Forex-NY,FixedIncome,Bonds,Darin Abbott Brokers Ltd,Quasi-Govt,Mezzanine,AAA,10000,10845.08,10845.08,Zero Coupon,8.2,Semiannual,Actual/Actual (ICMA),2023-12-06,2031-12-06,Sell,9776,USD,106021502.08,106021502.08,106021502.08,53010.75,2025-06-06,0.0007561032283763697,SONIA,82000.0,Exchange,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0041,BloomTOMS,07-Mar-2025,07-Mar-2025,08-Mar-2025,Y,12-Feb-2026,CUST000041,Kiaan Chaudry Pvt Ltd Company,Broker,Jocelyn Mooney Pub Ltd Company,Equity-NY,FixedIncome,Bonds,Vanessa Morris Mutual Fund,PublicLtd-Large,Mezzanine,A,10000,8131.79,8131.79,Floating Rate,3.3,Annual,Actual/Actual (ICMA),2025-02-07,2033-02-07,Buy,47373,USD,385227287.67,385227287.67,385227287.67,192613.64,2026-02-07,0.00040581470992241556,MIBOR,33000.0,MTF,New,Y,Y,N,Physical,BKUS,Diversify
FIC0042,BloomTOMS,06-Jan-2023,06-Jan-2023,07-Jan-2023,Y,11-Feb-2023,CUST000042,Kevin Raymond Non-Banking Fin Co,OTC,Glenn King Pvt Ltd Company,Credit-LON,FixedIncome,Secured Notes,Shaun Bradley Finance Company,PublicLtd-Medium,Mezzanine,BBB,10000,11054.27,11054.27,Floating Rate,8.5,Monthly,Actual/360,2022-11-06,2027-11-06,Sell,13423,USD,148381466.21,148381466.21,148381466.21,148381.47,2023-02-06,0.0007689336337903815,SOFR,85000.0,OTC,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0043,BloomTOMS,14-Aug-2023,14-Aug-2023,15-Aug-2023,Y,19-Sep-2023,CUST000043,Ashley Coleman Pvt Ltd Company,Broker,Jim Boyd Pvt Ltd Company,Credit-LON,FixedIncome,NCD,Shravya Natarajan Mutual Fund,Soverign-CG,Senior Unsecured,B,100,106.47,106.47,Floating Rate,6.0,Quarterly,30E/360,2023-03-14,2028-03-14,Sell,20190,CNY,2149629.3,300948.1,2149629.3,1074.81,2023-09-14,0.05635390250774866,SONIA,600.0,MTF,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0044,Calypso,28-May-2024,28-May-2024,29-May-2024,Y,02-Aug-2024,CUST000044,Robert Mistry Pvt Ltd Company,CCP,Nitesh Shankar Non-Banking Fin Co,Forex-HK,FixedIncome,Bonds,Daniel Gibson Brokers Ltd,PublicLtd-Medium,Subordinated,B,10000,9289.92,9289.92,Fixed Coupon,5.6,Semiannual,30E/360,2024-01-28,2034-01-28,Sell,5622,USD,52227930.24,52227930.24,52227930.24,52227.93,2024-07-28,0.0006028038992800798,SOFR,56000.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0045,Murex,25-Feb-2025,25-Feb-2025,26-Feb-2025,Y,30-Aug-2025,CUST000045,Heather Rodriguez Mutual Fund,OTC,Urvi Mishra Pvt Ltd Company,Credit-LON,FixedIncome,Bonds,Radhika Sagar Non-Banking Fin Co,PublicLtd-Medium,Subordinated,BB ,100,126.16,126.16,Fixed Coupon,7.3,Semiannual,30/360,2024-08-25,2032-08-25,Buy,13449,USD,1696725.84,1696725.84,1696725.84,848.36,2025-08-25,0.05786303107165504,ESTR,730.0,OTC,New,Y,Y,Y,Physical,BKUS,Active
