Call_ID,Call_source_system,Agreement_id,Margin_type,Call_direction,Call_amount,Call_result,Call_result_reason,Call_date
CALL0019,Acadia,CSA_CP0019,VariationMargin,CallReceived,18467554.16,Pending,NA,15-Oct-2024
CALL0020,Acadia,CSA_CP0020,InitialMargin,CallMade,12513532.7,Disputed,Valuation difference,19-Nov-2025
CALL0021,Acadia,CSA_CP0021,InitialMargin,CallReceived,2168749.68,Agreed,NA,11-Nov-2025
CALL0022,Acadia,CSA_CP0022,VariationMargin,CallReceived,17940613.74,Agreed,NA,08-Mar-2024
CALL0023,Manual,CSA_CP0023,NetCashMargin,CallMade,3418422.05,Agreed,NA,03-Dec-2025
CALL0024,Acadia,CSA_CP0024,VariationMargin,CallReceived,437479.56,Agreed,NA,04-Dec-2025
CALL0025,Acadia,CSA_CP0025,VariationMargin,CallMade,18831410.39,Challenged,Timing differnce,03-Nov-2025
CALL0026,Acadia,CSA_CP0026,VariationMargin,CallReceived,2575003.72,Disputed,Trade Difference,03-Mar-2023
CALL0027,Manual,CSA_CP0027,InitialMargin,CallReceived,6756798.63,Agreed,NA,21-Nov-2025
CALL0028,Acadia,CSA_CP0028,VariationMargin,CallReceived,15157928.21,Agreed,NA,21-Nov-2025
CALL0029,Acadia,CSA_CP0029,VariationMargin,CallReceived,10004015.72,Disputed,Timing differnce,13-Nov-2025
CALL0030,Acadia,CSA_CP0030,VariationMargin,CallReceived,12099786.06,Agreed,NA,06-Nov-2025
CALL0031,Acadia,CSA_CP0031,InitialMargin,CallReceived,11737068.84,Agreed,NA,18-Nov-2025
CALL0032,Acadia,CSA_CP0032,VariationMargin,CallReceived,15919869.22,Challenged,Valuation difference,11-Nov-2025
CALL0033,Manual,CSA_CP0033,InitialMargin,CallMade,20600633.31,Agreed,NA,11-Nov-2025
CALL0034,Acadia,CSA_CP0034,VariationMargin,CallMade,5553344.77,Agreed,NA,06-Nov-2025
CALL0035,Acadia,CSA_CP0035,InitialMargin,CallReceived,13589402.82,Agreed,NA,26-Nov-2025
CALL0036,Acadia,CSA_CP0036,VariationMargin,CallReceived,3772719.23,Agreed,NA,03-Nov-2025
CALL0037,Acadia,CSA_CP0037,InitialMargin,CallReceived,3032742.82,Agreed,NA,11-Jan-2023
CALL0038,Acadia,CSA_CP0038,VariationMargin,CallReceived,16008753.88,Pending,NA,01-Dec-2025
CALL0039,Acadia,CSA_CP0039,NetCashMargin,CallMade,12598212.23,Agreed,NA,21-Nov-2025
CALL0040,Acadia,CSA_CP0040,VariationMargin,CallMade,13042240.4,Disputed,Timing differnce,24-Nov-2025
CALL0041,Acadia,CSA_CP0041,VariationMargin,CallMade,7451744.23,Agreed,NA,10-Feb-2023
CALL0042,Acadia,CSA_CP0042,InitialMargin,CallMade,17959342.51,Agreed,NA,18-Nov-2025
CALL0043,Acadia,CSA_CP0043,InitialMargin,CallReceived,3944823.43,Agreed,NA,11-Nov-2025
CALL0044,Acadia,CSA_CP0044,VariationMargin,CallMade,12170326.12,Challenged,Timing differnce,13-Nov-2025
CALL0045,Acadia,CSA_CP0045,VariationMargin,CallMade,9961178.45,Agreed,NA,01-Dec-2025
CALL0046,Acadia,CSA_CP0046,InitialMargin,CallReceived,6842413.43,Agreed,NA,23-Jan-2025
CALL0047,Acadia,CSA_CP0047,VariationMargin,CallReceived,9898991.81,Agreed,NA,28-Jul-2025
CALL0048,Acadia,CSA_CP0048,VariationMargin,CallMade,7768373.48,Challenged,Valuation difference,19-Nov-2025
CALL0049,Acadia,CSA_CP0049,InitialMargin,CallMade,12636093.33,Challenged,Timing differnce,13-Feb-2025
CALL0050,Acadia,CSA_CP0050,VariationMargin,CallMade,14006727.95,Agreed,NA,02-Mar-2023
CALL0051,Acadia,CSA_CP0051,VariationMargin,CallReceived,11349623.07,Agreed,NA,09-Apr-2024
CALL0052,Acadia,CSA_CP0052,NetCashMargin,CallReceived,23271134.11,Agreed,NA,02-Sep-2025
CALL0053,Acadia,CSA_CP0053,InitialMargin,CallMade,14099076.71,Agreed,NA,04-Nov-2025
CALL0054,Acadia,CSA_CP0054,VariationMargin,CallReceived,14927141.34,Agreed,NA,18-Nov-2025
CALL0055,Acadia,CSA_CP0055,InitialMargin,CallMade,8080507.4,Agreed,NA,12-Nov-2025
CALL0056,Acadia,CSA_CP0056,NetCashMargin,CallReceived,16496475.97,Pending,NA,03-Nov-2025
CALL0057,Acadia,CSA_CP0057,InitialMargin,CallReceived,1724609.44,Agreed,NA,13-Nov-2025
CALL0058,Acadia,CSA_CP0058,VariationMargin,CallMade,5442287.69,Agreed,NA,07-Nov-2025
CALL0059,Acadia,CSA_CP0059,VariationMargin,CallMade,9792985.47,Challenged,Trade Difference,25-Nov-2025
CALL0060,Acadia,CSA_CP0060,VariationMargin,CallReceived,3371400.19,Agreed,NA,06-Apr-2023
CALL0061,Acadia,CSA_CP0061,InitialMargin,CallReceived,6401385.42,Agreed,NA,19-Nov-2025
CALL0062,Acadia,CSA_CP0062,VariationMargin,CallReceived,30982289.45,Agreed,NA,27-Nov-2025
CALL0063,Acadia,CSA_CP0063,VariationMargin,CallMade,7523223.64,Agreed,NA,28-Nov-2025
CALL0064,Acadia,CSA_CP0064,VariationMargin,CallReceived,9373473.92,Challenged,Timing differnce,13-Nov-2025
CALL0065,Acadia,CSA_CP0065,InitialMargin,CallMade,27433694.1,Disputed,CSA difference,11-Nov-2025
CALL0066,Acadia,CSA_CP0066,InitialMargin,CallMade,10280419.74,Challenged,Valuation difference,05-Nov-2025
CALL0067,Acadia,CSA_CP0067,InitialMargin,CallReceived,16207676.7,Agreed,NA,04-Dec-2025
CALL0068,Acadia,CSA_CP0068,VariationMargin,CallMade,35244076.97,Agreed,NA,05-Nov-2025
CALL0069,Acadia,CSA_CP0069,InitialMargin,CallMade,9572234.11,Pending,NA,05-Nov-2025
CALL0070,Acadia,CSA_CP0070,InitialMargin,CallMade,21934014.39,Challenged,Timing differnce,14-Nov-2025
CALL0071,Acadia,CSA_CP0071,VariationMargin,CallMade,7028967.31,Pending,NA,03-Dec-2025
CALL0072,Acadia,CSA_CP0072,VariationMargin,CallMade,1323087.6,Pending,NA,03-Nov-2025
CALL0073,Acadia,CSA_CP0073,VariationMargin,CallReceived,17957386.47,Agreed,NA,26-Nov-2025
CALL0074,Manual,CSA_CP0074,InitialMargin,CallReceived,31915639.07,Pending,NA,01-Dec-2025
CALL0075,Acadia,CSA_CP0075,InitialMargin,CallMade,8228032.06,Pending,NA,05-Dec-2025
CALL0076,Acadia,CSA_CP0076,InitialMargin,CallMade,21419171.94,Disputed,Timing differnce,05-Dec-2025
CALL0077,Acadia,CSA_CP0077,VariationMargin,CallMade,4661320.67,Pending,NA,05-Nov-2025
CALL0078,Acadia,CSA_CP0078,VariationMargin,CallMade,12672230.73,Agreed,NA,04-Dec-2025
CALL0079,Acadia,CSA_CP0079,VariationMargin,CallReceived,19500688.62,Agreed,NA,24-Nov-2025
CALL0080,Acadia,CSA_CP0080,InitialMargin,CallMade,943004.27,Agreed,NA,05-Nov-2025
CALL0081,Acadia,CSA_CP0081,VariationMargin,CallMade,9440243.98,Disputed,Trade Difference,05-Dec-2025
CALL0082,Acadia,CSA_CP0082,InitialMargin,CallMade,773674.71,Disputed,Timing differnce,29-Apr-2025
CALL0083,Acadia,CSA_CP0083,VariationMargin,CallMade,11525637.65,Challenged,Valuation difference,02-Dec-2025
CALL0084,Acadia,CSA_CP0084,VariationMargin,CallMade,33878004.88,Pending,NA,19-Nov-2025
CALL0085,Acadia,CSA_CP0085,VariationMargin,CallReceived,838376.42,Agreed,NA,27-Nov-2025
CALL0086,Acadia,CSA_CP0086,InitialMargin,CallReceived,13497024.53,Agreed,NA,03-Jul-2023
CALL0087,Acadia,CSA_CP0087,InitialMargin,CallMade,1490821.86,Agreed,NA,05-Nov-2025
CALL0088,Acadia,CSA_CP0088,VariationMargin,CallMade,3205299.0,Agreed,NA,07-Jan-2025
CALL0089,Acadia,CSA_CP0089,InitialMargin,CallMade,2038690.14,Agreed,NA,05-Dec-2025
CALL0090,Acadia,CSA_CP0090,VariationMargin,CallMade,6272437.71,Disputed,Timing differnce,24-Nov-2025
CALL0091,Acadia,CSA_CP0091,VariationMargin,CallMade,8712791.11,Pending,NA,05-Nov-2025
CALL0092,Acadia,CSA_CP0092,InitialMargin,CallMade,20632952.79,Agreed,NA,24-Nov-2025
CALL0093,Acadia,CSA_CP0093,InitialMargin,CallReceived,7441264.81,Agreed,NA,21-Nov-2025
CALL0094,Acadia,CSA_CP0094,VariationMargin,CallMade,24839550.86,Agreed,NA,20-Nov-2025
CALL0095,Acadia,CSA_CP0095,VariationMargin,CallMade,10385586.96,Agreed,NA,29-Aug-2024
CALL0096,Acadia,CSA_CP0096,NetCashMargin,CallMade,304183.58,Agreed,NA,04-Nov-2025
CALL0097,Acadia,CSA_CP0097,InitialMargin,CallMade,8273284.91,Agreed,NA,10-Nov-2025
CALL0098,Acadia,CSA_CP0098,InitialMargin,CallReceived,3433331.33,Pending,NA,28-Nov-2025
CALL0099,Acadia,CSA_CP0099,VariationMargin,CallReceived,575926.52,Agreed,NA,11-Nov-2025
CALL0100,Acadia,CSA_CP0100,VariationMargin,CallReceived,9634949.83,Agreed,NA,13-May-2025
CALL0101,Acadia,CSA_CP0101,InitialMargin,CallMade,2583834.41,Challenged,Valuation difference,18-Nov-2025
CALL0102,Acadia,CSA_CP0102,VariationMargin,CallReceived,9264682.14,Agreed,NA,10-Jan-2023
CALL0103,Manual,CSA_CP0103,InitialMargin,CallReceived,9022986.09,Agreed,NA,02-Dec-2025
CALL0104,Acadia,CSA_CP0104,InitialMargin,CallMade,14784941.43,Agreed,NA,02-Dec-2025
CALL0105,Acadia,CSA_CP0105,VariationMargin,CallReceived,995991.18,Agreed,NA,28-Nov-2025
CALL0106,Acadia,CSA_CP0106,InitialMargin,CallReceived,9606029.37,Agreed,NA,02-Dec-2025
CALL0107,Manual,CSA_CP0107,VariationMargin,CallMade,22940968.36,Agreed,NA,03-Dec-2025
CALL0108,Acadia,CSA_CP0108,InitialMargin,CallMade,12467877.23,Pending,NA,23-Sep-2024
CALL0109,Acadia,CSA_CP0109,VariationMargin,CallReceived,20936777.85,Agreed,NA,02-Dec-2025
CALL0110,Acadia,CSA_CP0110,InitialMargin,CallMade,11321437.05,Agreed,NA,07-Nov-2025
CALL0111,Acadia,CSA_CP0111,InitialMargin,CallReceived,13468633.14,Challenged,Valuation difference,26-Nov-2025
CALL0112,Acadia,CSA_CP0112,VariationMargin,CallReceived,13586275.72,Agreed,NA,02-Dec-2025
CALL0113,Acadia,CSA_CP0113,VariationMargin,CallReceived,850284.39,Agreed,NA,01-Dec-2025
CALL0114,Acadia,CSA_CP0114,VariationMargin,CallReceived,12492230.94,Pending,NA,13-Nov-2025
CALL0115,Acadia,CSA_CP0115,VariationMargin,CallMade,19828060.21,Pending,NA,15-Oct-2025
CALL0116,Acadia,CSA_CP0116,VariationMargin,CallMade,936226.96,Disputed,Timing differnce,07-Nov-2025
CALL0117,Acadia,CSA_CP0117,InitialMargin,CallReceived,9379779.57,Agreed,NA,11-Nov-2025
CALL0118,Manual,CSA_CP0118,NetCashMargin,CallMade,29303694.42,Challenged,Timing differnce,01-Aug-2023
CALL0119,Manual,CSA_CP0119,InitialMargin,CallReceived,30221681.75,Pending,NA,21-Nov-2025
CALL0120,Acadia,CSA_CP0120,InitialMargin,CallMade,9247442.93,Agreed,NA,04-Dec-2025
CALL0121,Acadia,CSA_CP0121,InitialMargin,CallMade,543101.89,Disputed,Trade Difference,01-Dec-2025
CALL0122,Acadia,CSA_CP0122,VariationMargin,CallMade,12865821.23,Agreed,NA,19-Nov-2025
CALL0123,Acadia,CSA_CP0123,InitialMargin,CallMade,12768671.82,Challenged,Timing differnce,14-Apr-2025
CALL0124,Acadia,CSA_CP0124,NetCashMargin,CallMade,1803980.44,Agreed,NA,11-Nov-2025
CALL0125,Acadia,CSA_CP0125,VariationMargin,CallMade,8701047.94,Agreed,NA,12-Nov-2025
CALL0126,Acadia,CSA_CP0126,VariationMargin,CallMade,5117567.41,Pending,NA,16-May-2024
CALL0127,Acadia,CSA_CP0127,VariationMargin,CallMade,4286609.49,Agreed,NA,02-Dec-2025
CALL0128,Acadia,CSA_CP0128,NetCashMargin,CallReceived,5367790.7,Disputed,Valuation difference,10-Nov-2025
CALL0129,Acadia,CSA_CP0129,VariationMargin,CallReceived,13027833.04,Agreed,NA,06-Nov-2025
CALL0130,Acadia,CSA_CP0130,VariationMargin,CallMade,10937275.47,Agreed,NA,12-Nov-2025
CALL0131,Acadia,CSA_CP0131,VariationMargin,CallReceived,12060941.01,Challenged,CSA difference,26-Nov-2025
CALL0132,Acadia,CSA_CP0132,InitialMargin,CallMade,12067743.06,Agreed,NA,21-Jun-2023
CALL0133,Acadia,CSA_CP0133,InitialMargin,CallReceived,3452724.53,Agreed,NA,25-Nov-2025
CALL0134,Acadia,CSA_CP0134,VariationMargin,CallReceived,1445598.26,Agreed,NA,14-Nov-2025
CALL0135,Acadia,CSA_CP0135,InitialMargin,CallReceived,5233904.39,Disputed,CSA difference,20-Nov-2025
CALL0136,Acadia,CSA_CP0136,VariationMargin,CallMade,26903957.44,Agreed,NA,04-Dec-2025
CALL0137,Acadia,CSA_CP0137,VariationMargin,CallMade,41819032.0,Agreed,NA,21-Jul-2023
CALL0138,Acadia,CSA_CP0138,VariationMargin,CallMade,18459737.34,Agreed,NA,15-May-2024
CALL0139,Acadia,CSA_CP0139,VariationMargin,CallMade,8052437.66,Agreed,NA,06-Nov-2025
CALL0140,Acadia,CSA_CP0140,VariationMargin,CallMade,822352.6,Agreed,NA,27-Oct-2025
CALL0141,Acadia,CSA_CP0141,VariationMargin,CallReceived,20786254.34,Agreed,NA,07-Nov-2025
CALL0142,Acadia,CSA_CP0142,VariationMargin,CallMade,2947239.58,Agreed,NA,26-Nov-2025
CALL0143,Acadia,CSA_CP0143,InitialMargin,CallReceived,6456279.73,Pending,NA,07-Nov-2025
CALL0144,Acadia,CSA_CP0144,NetCashMargin,CallMade,22008475.39,Agreed,NA,14-Nov-2025
CALL0145,Acadia,CSA_CP0145,VariationMargin,CallReceived,34483473.21,Agreed,NA,03-Dec-2025
CALL0146,Acadia,CSA_CP0146,InitialMargin,CallReceived,12928948.18,Agreed,NA,26-Nov-2025
CALL0147,Acadia,CSA_CP0147,VariationMargin,CallMade,9204196.02,Agreed,NA,27-Nov-2025
CALL0148,Manual,CSA_CP0148,VariationMargin,CallMade,29169052.03,Agreed,NA,04-Nov-2025
CALL0149,Acadia,CSA_CP0149,VariationMargin,CallReceived,41077394.14,Agreed,NA,18-Nov-2025
CALL0150,Acadia,CSA_CP0150,VariationMargin,CallReceived,10002099.68,Agreed,NA,05-Nov-2025
CALL0151,Acadia,CSA_CP0151,VariationMargin,CallMade,1309259.85,Agreed,NA,07-Nov-2025
CALL0152,Acadia,CSA_CP0152,VariationMargin,CallReceived,10922401.87,Agreed,NA,05-Aug-2025
CALL0153,Acadia,CSA_CP0153,VariationMargin,CallMade,12757769.7,Agreed,NA,04-Dec-2025
CALL0154,Acadia,CSA_CP0154,VariationMargin,CallMade,26219149.12,Pending,NA,25-Nov-2025
CALL0155,Acadia,CSA_CP0155,VariationMargin,CallMade,3239916.33,Pending,NA,24-Nov-2025
CALL0156,Manual,CSA_CP0156,VariationMargin,CallReceived,7894225.65,Agreed,NA,05-Nov-2025
CALL0157,Acadia,CSA_CP0157,InitialMargin,CallMade,11502951.87,Challenged,Valuation difference,21-Nov-2023
CALL0158,Acadia,CSA_CP0158,NetCashMargin,CallReceived,12011781.22,Agreed,NA,07-Mar-2025
CALL0159,Acadia,CSA_CP0159,InitialMargin,CallMade,6008221.15,Pending,NA,20-Apr-2023
CALL0160,Acadia,CSA_CP0160,InitialMargin,CallReceived,6546431.92,Disputed,Timing differnce,10-Nov-2025
CALL0161,Acadia,CSA_CP0161,VariationMargin,CallMade,20462264.14,Agreed,NA,04-Dec-2025
CALL0162,Acadia,CSA_CP0162,VariationMargin,CallReceived,8567881.63,Agreed,NA,18-Nov-2025
CALL0163,Manual,CSA_CP0163,NetCashMargin,CallMade,7818305.26,Disputed,Timing differnce,11-Nov-2025
CALL0164,Acadia,CSA_CP0164,InitialMargin,CallReceived,5523470.57,Agreed,NA,20-Nov-2025
CALL0165,Acadia,CSA_CP0165,VariationMargin,CallReceived,2270680.96,Challenged,Timing differnce,03-Nov-2025
CALL0166,Acadia,CSA_CP0166,NetCashMargin,CallReceived,13996415.05,Agreed,NA,25-Nov-2025
CALL0167,Acadia,CSA_CP0167,VariationMargin,CallReceived,14006752.44,Agreed,NA,10-Nov-2025
CALL0168,Acadia,CSA_CP0168,VariationMargin,CallReceived,13169597.94,Agreed,NA,19-Nov-2025
CALL0169,Acadia,CSA_CP0169,VariationMargin,CallReceived,26051266.88,Disputed,Valuation difference,13-Nov-2025
CALL0170,Acadia,CSA_CP0170,InitialMargin,CallReceived,1124953.61,Pending,NA,27-Nov-2025
CALL0171,Acadia,CSA_CP0171,InitialMargin,CallMade,1858713.52,Disputed,Valuation difference,05-Nov-2025
CALL0172,Acadia,CSA_CP0172,VariationMargin,CallMade,887316.35,Agreed,NA,26-Nov-2025
CALL0173,Acadia,CSA_CP0173,InitialMargin,CallReceived,7408441.65,Challenged,Valuation difference,11-Nov-2025
CALL0174,Acadia,CSA_CP0174,InitialMargin,CallReceived,4678782.92,Agreed,NA,03-Nov-2025
CALL0175,Acadia,CSA_CP0175,InitialMargin,CallMade,22418720.79,Agreed,NA,04-Nov-2025
CALL0176,Acadia,CSA_CP0176,InitialMargin,CallMade,4264304.96,Agreed,NA,03-Dec-2025
CALL0177,Acadia,CSA_CP0177,VariationMargin,CallReceived,12260760.33,Agreed,NA,02-Dec-2025
CALL0178,Acadia,CSA_CP0178,VariationMargin,CallReceived,26027778.09,Agreed,NA,11-Nov-2025
CALL0179,Acadia,CSA_CP0179,VariationMargin,CallMade,7370622.09,Disputed,Valuation difference,17-Nov-2025
CALL0180,Acadia,CSA_CP0180,VariationMargin,CallMade,7149081.88,Agreed,NA,26-Nov-2025
CALL0181,Acadia,CSA_CP0181,VariationMargin,CallReceived,1198882.47,Disputed,Timing differnce,03-Dec-2025
CALL0182,Acadia,CSA_CP0182,VariationMargin,CallReceived,23928870.72,Agreed,NA,05-Dec-2025
CALL0183,Acadia,CSA_CP0183,InitialMargin,CallReceived,16128103.52,Agreed,NA,27-Oct-2025
CALL0184,Acadia,CSA_CP0184,InitialMargin,CallReceived,13116701.62,Agreed,NA,23-Nov-2023
CALL0185,Acadia,CSA_CP0185,VariationMargin,CallReceived,977624.87,Agreed,NA,22-Jan-2025
CALL0186,Manual,CSA_CP0186,VariationMargin,CallMade,19339535.93,Agreed,NA,18-Nov-2025
CALL0187,Acadia,CSA_CP0187,InitialMargin,CallMade,21724736.45,Agreed,NA,27-Nov-2025
CALL0188,Acadia,CSA_CP0188,VariationMargin,CallReceived,4481444.66,Agreed,NA,07-Nov-2025
CALL0189,Acadia,CSA_CP0189,NetCashMargin,CallReceived,29077633.41,Agreed,NA,14-Nov-2025
CALL0190,Acadia,CSA_CP0190,InitialMargin,CallReceived,37856588.17,Agreed,NA,03-Nov-2025
CALL0191,Acadia,CSA_CP0191,NetCashMargin,CallMade,23034500.79,Agreed,NA,05-Nov-2025
CALL0192,Acadia,CSA_CP0192,VariationMargin,CallReceived,16275200.09,Agreed,NA,19-Jan-2024
CALL0193,Acadia,CSA_CP0193,InitialMargin,CallReceived,16796677.87,Agreed,NA,04-Nov-2025
CALL0194,Acadia,CSA_CP0194,VariationMargin,CallReceived,8131831.5,Agreed,NA,25-Apr-2024
CALL0195,Acadia,CSA_CP0195,VariationMargin,CallMade,10499480.93,Challenged,Valuation difference,03-Dec-2025
CALL0196,Acadia,CSA_CP0196,InitialMargin,CallMade,9704505.69,Agreed,NA,28-Nov-2025
CALL0197,Acadia,CSA_CP0197,VariationMargin,CallMade,20982396.86,Agreed,NA,24-Nov-2025
CALL0198,Acadia,CSA_CP0198,NetCashMargin,CallReceived,6190964.76,Agreed,NA,03-Nov-2025
CALL0199,Acadia,CSA_CP0199,VariationMargin,CallMade,13684954.11,Agreed,NA,17-Nov-2025
CALL0200,Acadia,CSA_CP0200,NetCashMargin,CallMade,16519445.15,Agreed,NA,21-Nov-2025
CALL0201,Acadia,CSA_CP0201,InitialMargin,CallReceived,19513279.21,Agreed,NA,01-Dec-2025
CALL0202,Acadia,CSA_CP0202,VariationMargin,CallReceived,36157591.2,Agreed,NA,24-Nov-2025
CALL0203,Acadia,CSA_CP0203,InitialMargin,CallReceived,4510003.98,Challenged,Valuation difference,12-Nov-2025
CALL0204,Acadia,CSA_CP0204,InitialMargin,CallReceived,8811973.05,Pending,NA,07-Nov-2025
CALL0205,Acadia,CSA_CP0205,VariationMargin,CallMade,10304453.18,Challenged,Timing differnce,05-Dec-2025
CALL0206,Acadia,CSA_CP0206,VariationMargin,CallMade,7023800.06,Pending,NA,07-May-2025
CALL0207,Acadia,CSA_CP0207,NetCashMargin,CallReceived,4768300.69,Agreed,NA,27-Mar-2025
CALL0208,Acadia,CSA_CP0208,InitialMargin,CallReceived,13705210.69,Agreed,NA,27-Nov-2025
CALL0209,Acadia,CSA_CP0209,VariationMargin,CallMade,5771546.7,Disputed,Trade Difference,05-Dec-2025
CALL0210,Acadia,CSA_CP0210,VariationMargin,CallMade,1796017.47,Challenged,Trade Difference,03-Nov-2025
CALL0211,Acadia,CSA_CP0211,VariationMargin,CallMade,5464305.43,Pending,NA,12-Nov-2025
CALL0212,Acadia,CSA_CP0212,VariationMargin,CallMade,3046173.67,Challenged,CSA difference,21-Nov-2025
CALL0213,Acadia,CSA_CP0213,InitialMargin,CallReceived,42627272.92,Disputed,Trade Difference,17-Nov-2025
CALL0214,Acadia,CSA_CP0214,VariationMargin,CallMade,29240519.64,Disputed,CSA difference,11-Nov-2025
CALL0215,Acadia,CSA_CP0215,VariationMargin,CallReceived,24565036.72,Agreed,NA,21-Nov-2025
CALL0216,Acadia,CSA_CP0216,InitialMargin,CallMade,24656681.66,Disputed,CSA difference,13-Nov-2024
CALL0217,Acadia,CSA_CP0217,VariationMargin,CallMade,5353454.96,Agreed,NA,12-Feb-2025
CALL0218,Acadia,CSA_CP0218,VariationMargin,CallReceived,1577930.07,Disputed,Trade Difference,05-Dec-2025
CALL0219,Acadia,CSA_CP0219,VariationMargin,CallMade,804729.47,Agreed,NA,05-Dec-2025
CALL0220,Acadia,CSA_CP0220,VariationMargin,CallReceived,922057.41,Agreed,NA,26-Nov-2025
CALL0221,Acadia,CSA_CP0221,VariationMargin,CallMade,4233517.48,Agreed,NA,21-Nov-2025
CALL0222,Acadia,CSA_CP0222,VariationMargin,CallMade,3748326.85,Agreed,NA,27-Nov-2025
CALL0223,Acadia,CSA_CP0223,VariationMargin,CallMade,3496339.05,Agreed,NA,17-Nov-2025
CALL0224,Acadia,CSA_CP0224,VariationMargin,CallReceived,1216898.63,Agreed,NA,26-Nov-2025
CALL0225,Acadia,CSA_CP0225,InitialMargin,CallReceived,29716261.55,Agreed,NA,03-Nov-2025
CALL0226,Acadia,CSA_CP0226,VariationMargin,CallReceived,16760219.24,Agreed,NA,19-Nov-2025
CALL0227,Acadia,CSA_CP0227,InitialMargin,CallMade,2487346.42,Agreed,NA,13-Nov-2025
CALL0228,Acadia,CSA_CP0228,VariationMargin,CallMade,8928568.5,Agreed,NA,07-Nov-2025
CALL0229,Acadia,CSA_CP0229,InitialMargin,CallReceived,30141391.85,Agreed,NA,11-Nov-2025
CALL0230,Acadia,CSA_CP0230,NetCashMargin,CallReceived,24290724.9,Agreed,NA,05-Nov-2025
CALL0231,Acadia,CSA_CP0231,VariationMargin,CallReceived,16409754.01,Disputed,Trade Difference,11-Nov-2025
CALL0232,Acadia,CSA_CP0232,InitialMargin,CallMade,11544913.84,Agreed,NA,12-Oct-2023
CALL0233,Acadia,CSA_CP0233,VariationMargin,CallMade,26850260.93,Pending,NA,04-Nov-2025
CALL0234,Acadia,CSA_CP0234,VariationMargin,CallMade,846745.5,Agreed,NA,08-May-2023
CALL0235,Acadia,CSA_CP0235,InitialMargin,CallReceived,17141204.26,Agreed,NA,08-Jul-2025
CALL0236,Acadia,CSA_CP0236,InitialMargin,CallMade,25275514.15,Agreed,NA,14-Nov-2025
CALL0237,Acadia,CSA_CP0237,VariationMargin,CallMade,33281745.48,Agreed,NA,19-Nov-2025
CALL0238,Acadia,CSA_CP0238,VariationMargin,CallReceived,9280416.65,Agreed,NA,13-Nov-2025
CALL0239,Acadia,CSA_CP0239,InitialMargin,CallReceived,8650449.55,Agreed,NA,04-Dec-2025
CALL0240,Manual,CSA_CP0240,VariationMargin,CallReceived,7954592.27,Agreed,NA,02-Oct-2024
CALL0241,Acadia,CSA_CP0241,NetCashMargin,CallMade,8014316.77,Agreed,NA,28-Nov-2023
CALL0242,Acadia,CSA_CP0242,VariationMargin,CallReceived,25531637.23,Agreed,NA,26-Nov-2025
CALL0243,Acadia,CSA_CP0243,VariationMargin,CallReceived,2381258.8,Challenged,Timing differnce,10-Nov-2025
CALL0244,Acadia,CSA_CP0244,InitialMargin,CallMade,6072495.03,Challenged,Timing differnce,03-May-2024
CALL0245,Acadia,CSA_CP0245,VariationMargin,CallMade,30099741.05,Challenged,Timing differnce,12-Nov-2025
CALL0246,Acadia,CSA_CP0246,VariationMargin,CallMade,6978204.58,Pending,NA,25-Aug-2023
CALL0247,Acadia,CSA_CP0247,InitialMargin,CallReceived,7562364.32,Agreed,NA,03-Nov-2025
