Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Buy_sell,Trade_quantity,Trade_currency,Price,Gross_amount,Gross_amount_USD,Net_amount,Fees_commission,Execution_venue,Order_type,Trade_status,Settlement_status,Settlement_type,Trade_capture_stp,Settlement_stp,Legal_entity,Portfolio_strategy
EQT0011,Bloomberg,26-Jan-2024,26-Jan-2024,26-Jan-2024,Y,28-Jan-2024,CUST000011,Brittany Moore Pvt Ltd Company,Broker,Linda Cruz Banking Ltd,Credit-LON,Equity,Cash Equity,Buy,507606,USD,73.59,37355075.06,37355075.06,37355075.06,186775.38,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0012,Bacardi,22-Oct-2024,22-Oct-2024,22-Oct-2024,Y,24-Oct-2024,CUST000012,Ishwar Yadav Pub Ltd Company,Broker,Patricia Peterson Banking Ltd,Forex-LON,Equity,Cash Equity,Buy,556811,USD,47.5,26449188.67,26449188.67,26449188.67,264491.89,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0013,Kondorplus,19-Jan-2023,19-Jan-2023,19-Jan-2023,Y,21-Jan-2023,CUST000013,Michelle Stanton Brokers Ltd,Broker,Katie Rodriguez Finance Company,Equity-LON,Equity,Cash Equity,Buy,1018225,USD,80.87,82345947.64,82345947.64,82345947.64,823459.48,MTF,Market,Amended,Y,Physical,Y,Y,BKUS,Diversify
EQT0014,Bloomberg,11-Nov-2025,11-Nov-2025,11-Nov-2025,N,13-Nov-2025,CUST000014,Phillip Ryan Pvt Ltd Company,Broker,Kerry Smith Banking Ltd,Credit-HK,Equity,Cash Equity,Buy,45684,USD,457.02,20878776.57,20878776.57,20878776.57,208787.77,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Passive
EQT0015,Bloomberg,06-Sep-2024,06-Sep-2024,06-Sep-2024,Y,08-Sep-2024,CUST000015,Dr Trevor Tomlinson Finance Company,CCP,Theresa Miller Finance Company,Credit-LON,Equity,Cash Equity,Sell,477616,SGD,226.84,108340535.15,84505617.42,108340535.15,541702.68,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0016,Bloomberg,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,30-Nov-2025,CUST000016,Betty Alvarez Brokers Ltd,Broker,Jake Pritchard Banking Ltd,FixedIncome-HK,Equity,Cash Equity,Sell,3193913,GBP,18.99,60665898.45,75832373.07,60665898.45,303329.49,Exchange,Market,Cancelled,Y,Physical,Y,Y,BKUS,Passive
EQT0017,Kondorplus,02-May-2024,02-May-2024,02-May-2024,Y,04-May-2024,CUST000017,Devika Rastogi Pub Ltd Company,OTC,Victor Patel Finance Company,Equity-HK,Equity,Cash Equity,Sell,144219,USD,261.51,37714350.42,37714350.42,37714350.42,188571.75,OTC,Market,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0018,Kondorplus,11-Sep-2025,11-Sep-2025,11-Sep-2025,Y,13-Sep-2025,CUST000018,Alex Spencer Banking Ltd,CCP,Jamie Bailey Pub Ltd Company,Credit-HK,Equity,Cash Equity,Buy,32774,USD,381.84,12514797.94,12514797.94,12514797.94,62573.99,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0019,Bacardi,06-Apr-2023,06-Apr-2023,06-Apr-2023,Y,08-Apr-2023,CUST000019,Shannon Jones Brokers Ltd,OTC,Michael Lewis Pvt Ltd Company,FixedIncome-HK,Equity,Cash Equity,Buy,513814,USD,189.37,97300995.54,97300995.54,97300995.54,486504.98,OTC,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0020,Bloomberg,25-Oct-2024,25-Oct-2024,25-Oct-2024,Y,27-Oct-2024,CUST000020,Richard Aguirre Finance Company,Broker,Sophie Glover Pub Ltd Company,Equity-HK,Equity,Cash Equity,Buy,202257,USD,29.39,5944584.87,5944584.87,5944584.87,29722.92,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0021,Kondorplus,01-Apr-2024,01-Apr-2024,01-Apr-2024,Y,03-Apr-2024,CUST000021,Guneet Bhat Finance Company,Broker,Gerald Hensley Pub Ltd Company,FixedIncome-HK,Equity,Cash Equity,Sell,15312,USD,409.64,6272814.11,6272814.11,6272814.11,62728.14,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0022,Bacardi,01-May-2023,01-May-2023,01-May-2023,Y,03-May-2023,CUST000022,Francis Davidson Brokers Ltd,OTC,Olivia Hall Pub Ltd Company,FixedIncome-NY,Equity,Cash Equity,Buy,107351,USD,109.14,11716497.62,11716497.62,11716497.62,58582.49,OTC,Market,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0023,Kondorplus,30-Jun-2025,30-Jun-2025,30-Jun-2025,Y,02-Jul-2025,CUST000023,Alexander Chander Banking Ltd,OTC,Sarah Martin Pvt Ltd Company,Forex-LON,Equity,Cash Equity,Buy,271275,GBP,103.55,28091870.83,35114838.54,28091870.83,140459.35,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0024,Bacardi,27-Mar-2023,27-Mar-2023,27-Mar-2023,Y,29-Mar-2023,CUST000024,Mrs Jennifer Lamb Mutual Fund,OTC,Miss Carole Hussain Banking Ltd,Credit-NY,Equity,Cash Equity,Buy,1152162,ZAR,396.24,456534888.07,25565953.73,456534888.07,4565348.88,OTC,Market,New,Y,Physical,Y,Y,BKUS,Passive
EQT0025,Kondorplus,04-Dec-2023,04-Dec-2023,04-Dec-2023,Y,06-Dec-2023,CUST000025,Mohammed Gupta Non-Banking Fin Co,Broker,Wayne Riley Brokers Ltd,Forex-NY,Equity,Cash Equity,Buy,228909,USD,398.74,91275365.34,91275365.34,91275365.34,912753.65,MTF,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0026,Bacardi,30-May-2025,30-May-2025,30-May-2025,Y,01-Jun-2025,CUST000026,Shane Kerr Finance Company,CCP,Mr Matthew Hunt Pvt Ltd Company,Equity-LON,Equity,Cash Equity,Sell,253851,USD,280.5,71205119.2,71205119.2,71205119.2,712051.19,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Passive
EQT0027,Bacardi,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,13-Nov-2025,CUST000027,Megan Young Mutual Fund,Broker,Yatin Baral Banking Ltd,FixedIncome-NY,Equity,Cash Equity,Sell,897146,USD,109.52,98256265.69,98256265.69,98256265.69,982562.66,MTF,Market,New,N,Physical,Y,Y,BKUS,Rebalance
EQT0028,Bloomberg,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2025,CUST000028,Advika Jayaraman Brokers Ltd,CCP,Charles Smith Brokers Ltd,FixedIncome-HK,Equity,Cash Equity,Buy,508868,USD,172.07,87561541.68,87561541.68,87561541.68,875615.42,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0029,Bacardi,28-Jul-2023,28-Jul-2023,28-Jul-2023,Y,30-Jul-2023,CUST000029,Elijah Andra Banking Ltd,CCP,Zachary Ferrell Finance Company,Equity-HK,Equity,Cash Equity,Buy,356750,USD,170.31,60758530.23,60758530.23,60758530.23,607585.3,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0030,Bacardi,25-Nov-2024,25-Nov-2024,25-Nov-2024,Y,27-Nov-2024,CUST000030,Shirley Suarez Brokers Ltd,OTC,Christopher Bass Pvt Ltd Company,Forex-NY,Equity,Cash Equity,Sell,81866,USD,442.44,36221465.09,36221465.09,36221465.09,181107.33,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Active
EQT0031,Bloomberg,28-Jul-2023,28-Jul-2023,28-Jul-2023,Y,30-Jul-2023,CUST000031,Aimee Montoya Non-Banking Fin Co,OTC,Hemang Desai Non-Banking Fin Co,Forex-HK,Equity,Cash Equity,Sell,65166,USD,252.01,16422969.91,16422969.91,16422969.91,82114.85,OTC,Market,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0032,Bloomberg,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2025,CUST000032,Abigail Bird Banking Ltd,OTC,Grant Watts Non-Banking Fin Co,Equity-LON,Equity,Cash Equity,Buy,1318030,USD,60.16,79287486.61,79287486.61,79287486.61,792874.87,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0033,Kondorplus,18-Jun-2025,18-Jun-2025,18-Jun-2025,Y,20-Jun-2025,CUST000033,Amber Walters Non-Banking Fin Co,CCP,Dr Daniel Harper Pvt Ltd Company,Credit-HK,Equity,Cash Equity,Sell,270846,AUD,423.5,114704643.28,74558018.13,114704643.28,573523.22,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Active
EQT0034,Bacardi,08-Mar-2024,08-Mar-2024,08-Mar-2024,Y,10-Mar-2024,CUST000034,Kristen Patterson Banking Ltd,Broker,Victoria Tucker Pvt Ltd Company,FixedIncome-HK,Equity,Cash Equity,Buy,176454,USD,483.68,85348266.62,85348266.62,85348266.62,426741.33,MTF,Market,New,Y,Physical,Y,N,BKUS,Diversify
EQT0035,Kondorplus,02-Jun-2023,02-Jun-2023,02-Jun-2023,Y,04-Jun-2023,CUST000035,Martyn Kennedy Pvt Ltd Company,CCP,Nicola Brookes Pub Ltd Company,Equity-NY,Equity,Cash Equity,Buy,198941,USD,211.4,42056261.94,42056261.94,42056261.94,420562.62,Exchange,Market,New,Y,Physical,N,Y,BKUS,Active
EQT0036,Bloomberg,27-Aug-2024,27-Aug-2024,27-Aug-2024,Y,29-Aug-2024,CUST000036,Harry King Non-Banking Fin Co,CCP,Justin Baxter Banking Ltd,FixedIncome-NY,Equity,Cash Equity,Buy,192788,USD,393.19,75801765.57,75801765.57,75801765.57,758017.66,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Active
EQT0037,Bacardi,10-Nov-2025,10-Nov-2025,10-Nov-2025,Y,12-Nov-2025,CUST000037,Amanda Simpson Brokers Ltd,Broker,Sierra Johnson Pvt Ltd Company,Forex-NY,Equity,Cash Equity,Sell,346463,EUR,170.11,58937128.78,64830841.66,58937128.78,589371.29,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0038,Bloomberg,09-Jun-2025,09-Jun-2025,09-Jun-2025,Y,11-Jun-2025,CUST000038,Tracy Greenwood-Griffiths Finance Company,OTC,Shannon Walker Banking Ltd,Forex-NY,Equity,Cash Equity,Buy,606833,USD,107.94,65503923.69,65503923.69,65503923.69,655039.24,OTC,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0039,Bloomberg,10-Apr-2025,10-Apr-2025,10-Apr-2025,Y,12-Apr-2025,CUST000039,Udant Bajwa Banking Ltd,OTC,Jennifer Ramirez Finance Company,FixedIncome-NY,Equity,Cash Equity,Buy,3147062,CAD,41.76,131429038.86,95943198.37,131429038.86,657145.19,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Active
EQT0040,Bloomberg,15-Dec-2023,15-Dec-2023,15-Dec-2023,Y,17-Dec-2023,CUST000040,Marc Davies Finance Company,Broker,Ayaan D’Alia Non-Banking Fin Co,Equity-NY,Equity,Cash Equity,Buy,558699,USD,125.51,70125017.21,70125017.21,70125017.21,350625.09,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0041,Bloomberg,28-Mar-2023,28-Mar-2023,28-Mar-2023,Y,30-Mar-2023,CUST000041,Balvan Chopra Finance Company,Broker,Hemani Murthy Mutual Fund,FixedIncome-NY,Equity,Cash Equity,Sell,278266,USD,219.74,61146253.87,61146253.87,61146253.87,305731.27,MTF,Market,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0042,Bacardi,30-Sep-2025,30-Sep-2025,30-Sep-2025,Y,02-Oct-2025,CUST000042,Aachal Basu Banking Ltd,CCP,Aarav Venkatesh Non-Banking Fin Co,Equity-LON,Equity,Cash Equity,Sell,150965,USD,427.85,64590551.43,64590551.43,64590551.43,645905.51,MTF,Market,New,Y,Physical,Y,Y,BKUS,Active
EQT0043,Bacardi,10-Jun-2025,10-Jun-2025,10-Jun-2025,Y,12-Jun-2025,CUST000043,Tammie Hanson Mutual Fund,CCP,Belinda Mccullough Finance Company,Credit-NY,Equity,Cash Equity,Sell,122544,USD,280.77,34406864.04,34406864.04,34406864.04,344068.64,MTF,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0044,Bacardi,20-Dec-2024,20-Dec-2024,20-Dec-2024,Y,22-Dec-2024,CUST000044,Michael Spencer Brokers Ltd,Broker,Anna King Finance Company,Forex-NY,Equity,Cash Equity,Sell,184331,USD,59.66,10996975.91,10996975.91,10996975.91,54984.88,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0045,Bacardi,05-Dec-2025,05-Dec-2025,05-Dec-2025,Y,07-Dec-2025,CUST000045,Jennifer Bass Non-Banking Fin Co,Broker,Daniel Floyd Brokers Ltd,Credit-NY,Equity,Cash Equity,Sell,164187,USD,261.38,42915489.77,42915489.77,42915489.77,214577.45,Exchange,Limit,New,N,Physical,Y,Y,BKUS,Rebalance
EQT0046,Bacardi,03-Jan-2024,03-Jan-2024,03-Jan-2024,Y,05-Jan-2024,CUST000046,Kenneth Lewis Banking Ltd,CCP,Frado Mander Pvt Ltd Company,FixedIncome-LON,Equity,Cash Equity,Buy,368582,USD,234.69,86502706.12,86502706.12,86502706.12,432513.53,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Active
EQT0047,Bacardi,06-Mar-2025,06-Mar-2025,06-Mar-2025,Y,08-Mar-2025,CUST000047,Dean Wilson Brokers Ltd,OTC,Alexander Sanchez Non-Banking Fin Co,Credit-HK,Equity,Cash Equity,Sell,153969,USD,428.6,65991131.7,65991131.7,65991131.7,659911.32,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Active
EQT0048,Bacardi,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,13-Nov-2025,CUST000048,Mark Lee Pvt Ltd Company,OTC,Alex Hughes-Smith Mutual Fund,FixedIncome-NY,Equity,Cash Equity,Sell,103487,USD,403.49,41756571.23,41756571.23,41756571.23,208782.86,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0049,Bacardi,05-Nov-2024,05-Nov-2024,05-Nov-2024,Y,07-Nov-2024,CUST000049,Robert Dominguez Mutual Fund,CCP,Chandresh Krish Finance Company,Forex-LON,Equity,Cash Equity,Buy,195350,GBP,391.69,76516202.92,95645253.65,76516202.92,382581.01,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0050,Bacardi,22-Feb-2024,22-Feb-2024,22-Feb-2024,Y,24-Feb-2024,CUST000050,Mary Travis Mutual Fund,OTC,Sam Giles Pvt Ltd Company,Forex-LON,Equity,Cash Equity,Sell,45794215,EGP,95.89,4391348577.48,92218320.13,4391348577.48,21956742.89,OTC,Market,New,Y,Physical,Y,Y,BKUS,Active
EQT0051,Bacardi,18-Dec-2023,18-Dec-2023,18-Dec-2023,Y,20-Dec-2023,CUST000051,Kimberly Merritt Pub Ltd Company,Broker,Shivani Lad Brokers Ltd,FixedIncome-HK,Equity,Cash Equity,Sell,584763,EUR,125.52,73398316.28,80738147.91,73398316.28,733983.16,MTF,Market,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0052,Bacardi,15-Jan-2025,15-Jan-2025,15-Jan-2025,Y,17-Jan-2025,CUST000052,Mr. Jeremiah Reeves Brokers Ltd,Broker,George Orozco Banking Ltd,Credit-LON,Equity,Cash Equity,Sell,12173,EUR,331.14,4031286.5,4434415.15,4031286.5,20156.43,MTF,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0053,Bacardi,24-Nov-2025,24-Nov-2025,24-Nov-2025,Y,26-Nov-2025,CUST000053,Michael Mccarthy Banking Ltd,CCP,Oeshi Reddy Pub Ltd Company,Equity-HK,Equity,Cash Equity,Sell,39545,USD,430.64,17030065.88,17030065.88,17030065.88,85150.33,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Active
EQT0054,Bacardi,14-Mar-2025,14-Mar-2025,14-Mar-2025,Y,16-Mar-2025,CUST000054,Jean Carrillo Non-Banking Fin Co,OTC,Alicia Gilmore Non-Banking Fin Co,FixedIncome-LON,Equity,Cash Equity,Sell,233944,USD,334.63,78284781.75,78284781.75,78284781.75,782847.82,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0055,Kondorplus,01-Dec-2023,01-Dec-2023,01-Dec-2023,Y,03-Dec-2023,CUST000055,Elizabeth Price Non-Banking Fin Co,Broker,Sara Medina Finance Company,Credit-HK,Equity,Cash Equity,Sell,64700,USD,203.32,13154935.39,13154935.39,13154935.39,131549.35,MTF,Stop,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0056,Bacardi,12-Nov-2025,12-Nov-2025,12-Nov-2025,Y,14-Nov-2025,CUST000056,Theodore Mahajan Non-Banking Fin Co,CCP,Allen Rogers Brokers Ltd,FixedIncome-NY,Equity,Cash Equity,Buy,255354,USD,384.8,98261355.96,98261355.96,98261355.96,491306.78,MTF,Market,Amended,Y,Physical,Y,Y,BKUS,Active
EQT0057,Bacardi,14-Jul-2025,14-Jul-2025,14-Jul-2025,Y,16-Jul-2025,CUST000057,Joshua Walla Non-Banking Fin Co,CCP,Lynn Wright Banking Ltd,Credit-NY,Equity,Cash Equity,Sell,106205,USD,143.49,15239083.09,15239083.09,15239083.09,152390.83,MTF,Market,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0058,Kondorplus,14-Mar-2025,14-Mar-2025,14-Mar-2025,Y,16-Mar-2025,CUST000058,Catherine Green Mutual Fund,OTC,Siddharth Sha Banking Ltd,Credit-HK,Equity,Cash Equity,Sell,65284,USD,475.43,31038115.91,31038115.91,31038115.91,155190.58,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0059,Bacardi,31-Oct-2025,31-Oct-2025,31-Oct-2025,Y,02-Nov-2025,CUST000059,Dr Malcolm Lee Brokers Ltd,CCP,Paul Williams Pvt Ltd Company,Equity-LON,Equity,Cash Equity,Sell,596135,EUR,92.52,55156290.41,60671919.45,55156290.41,275781.45,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0060,Bacardi,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Dec-2025,CUST000060,Amanda Johnson Pvt Ltd Company,Broker,Caroline Bryant Banking Ltd,Forex-NY,Equity,Cash Equity,Sell,507879,USD,136.57,69362813.8,69362813.8,69362813.8,346814.07,Exchange,Market,New,N,Physical,Y,Y,BKUS,Rebalance
EQT0061,Bacardi,11-Apr-2025,11-Apr-2025,11-Apr-2025,Y,13-Apr-2025,CUST000061,Kim May Mutual Fund,Broker,Aahana Pillay Mutual Fund,Credit-LON,Equity,Cash Equity,Buy,264279,USD,210.67,55676646.61,55676646.61,55676646.61,556766.47,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0062,Bloomberg,26-Apr-2023,26-Apr-2023,26-Apr-2023,Y,28-Apr-2023,CUST000062,Ashley Weiss Non-Banking Fin Co,CCP,Michelle Whitehead-Murray Brokers Ltd,Credit-HK,Equity,Cash Equity,Sell,192652,USD,306.38,59025117.07,59025117.07,59025117.07,590251.17,MTF,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0063,Bloomberg,21-Nov-2025,21-Nov-2025,21-Nov-2025,Y,23-Nov-2025,CUST000063,Michael Burton Mutual Fund,Broker,Raymond Jefferson Non-Banking Fin Co,Forex-NY,Equity,Cash Equity,Buy,267482,USD,106.53,28494319.93,28494319.93,28494319.93,284943.2,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0064,Kondorplus,07-Jan-2025,07-Jan-2025,07-Jan-2025,Y,09-Jan-2025,CUST000064,Hannah Patterson Mutual Fund,CCP,Ekapad Toor Finance Company,Equity-NY,Equity,Cash Equity,Sell,275955,USD,256.85,70879901.36,70879901.36,70879901.36,354399.51,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Active
EQT0065,Bloomberg,11-Oct-2023,11-Oct-2023,11-Oct-2023,Y,13-Oct-2023,CUST000065,Dr Michelle Williams Finance Company,Broker,Dr Carolyn Gould Pvt Ltd Company,Equity-NY,Equity,Cash Equity,Sell,118644,USD,489.55,58083098.56,58083098.56,58083098.56,290415.49,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0066,Bacardi,28-Apr-2023,28-Apr-2023,28-Apr-2023,Y,30-Apr-2023,CUST000066,Robert Medina Brokers Ltd,Broker,Mr. Nicholas Adams Pub Ltd Company,Equity-LON,Equity,Cash Equity,Sell,319206,EUR,14.2,4533766.6,4987143.26,4533766.6,45337.67,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0067,Kondorplus,11-Apr-2023,11-Apr-2023,11-Apr-2023,Y,13-Apr-2023,CUST000067,Dana Marshall Non-Banking Fin Co,Broker,Jamie Johnson Pvt Ltd Company,FixedIncome-NY,Equity,Cash Equity,Buy,153897,AUD,235.6,36257825.93,23567586.85,36257825.93,362578.26,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0068,Bloomberg,23-Jun-2025,23-Jun-2025,23-Jun-2025,Y,25-Jun-2025,CUST000068,Isha Kuruvilla Finance Company,OTC,Miss Hilary Harrison Banking Ltd,FixedIncome-NY,Equity,Cash Equity,Buy,32356,USD,430.87,13941407.81,13941407.81,13941407.81,139414.08,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0069,Bacardi,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2025,CUST000069,Angela Cortez Brokers Ltd,Broker,Peter Vaughn DDS Banking Ltd,Equity-NY,Equity,Cash Equity,Sell,32077,USD,399.9,12827802.03,12827802.03,12827802.03,64139.01,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Active
EQT0070,Bloomberg,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Dec-2025,CUST000070,Adrian Rogers-Jackson Banking Ltd,Broker,Hemangini Sandal Pvt Ltd Company,Equity-NY,Equity,Cash Equity,Sell,338386,USD,231.29,78265697.05,78265697.05,78265697.05,391328.49,Exchange,Limit,New,N,Physical,Y,Y,BKUS,Diversify
EQT0071,Bacardi,02-Oct-2023,02-Oct-2023,02-Oct-2023,Y,04-Oct-2023,CUST000071,Zayan Kashyap Non-Banking Fin Co,Broker,Corey Wilson Non-Banking Fin Co,Forex-HK,Equity,Cash Equity,Sell,978476,EUR,32.09,31403745.88,34544120.47,31403745.88,157018.73,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Passive
EQT0072,Kondorplus,10-Nov-2025,10-Nov-2025,10-Nov-2025,Y,12-Nov-2025,CUST000072,Destiny Lawrence Pub Ltd Company,Broker,Linda Hooper Mutual Fund,Equity-LON,Equity,Cash Equity,Sell,135951,USD,254.95,34661172.2,34661172.2,34661172.2,173305.86,MTF,Limit,New,Y,Physical,Y,Y,BKUS,Passive
EQT0073,Bloomberg,04-Jul-2024,04-Jul-2024,04-Jul-2024,Y,06-Jul-2024,CUST000073,Praneel Mittal Non-Banking Fin Co,CCP,Jonathan Mahal Finance Company,Credit-LON,Equity,Cash Equity,Sell,187984,USD,309.82,58242102.72,58242102.72,58242102.72,582421.03,Exchange,Limit,New,Y,Physical,Y,N,BKUS,Passive
