Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Settlement_type,Buy_sell,Execution_venue,Trade_status,Trade_capture_stp,Settlement_status,Legal_entity,Portfolio_strategy,Index_name,Index_cur_level,Contract_size,Number_of_contracts,Contract_amount,Option_type,Strike_price,Premium,Expiry_date,Style,Initial Margin,Settlement_stp,Fees_commission,Stock_name,Stock_cur_price,Contract_code,Index_fut_level,Maturity_date_fut,Stock_fut_price,Notional,Floating_cur_int_rate,Near_leg_date,Far_leg_date,Floating_fut_int_rate,Swap_points
EQD0011,Summit,21-Nov-2025,21-Nov-2025,21-Nov-2025,Y,23-Dec-2025,CUST000011,Christopher Berry Finance Company,CCP,Mikayla Tate Pvt Ltd Company,Credit-HK,Derivatives,IndOptions,Cash,Sell,MTF,New,Y,N,BKUS,Active,Dow Jones Industrial Average (DJIA) ,46000.0,200.0,158.0,1453600000.0,Put,53842.3284,47023645.64,21-Dec-2025,American,69300424.52,Y,14536000.0,,,,,,,,,,,,
EQD0012,FrontArena,03-Jul-2023,03-Jul-2023,03-Jul-2023,Y,05-Aug-2023,CUST000012,Panini Parsa Banking Ltd,OTC,Mr Daniel Hamilton Non-Banking Fin Co,Equity-NY,Derivatives,IndOptions,Physical,Buy,OTC,New,Y,Y,BKUS,Active,S&P MidCap 400,3500.0,10.0,152.0,5320000.0,Call,3551.7254,116930.98,03-Aug-2023,European,201406.41,Y,26600.0,,,,,,,,,,,,
EQD0013,FusionCap,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,13-May-2026,CUST000013,Ashleigh Blake Non-Banking Fin Co,CCP,Brijesh Nath Banking Ltd,Equity-NY,Derivatives,IndOptions,Physical,Sell,OTC,New,Y,N,BKUS,Diversify,Nasdaq Composite,23414.0,10.0,160.0,37462400.0,Call,19967.5623,709756.88,11-May-2026,American,1368874.17,Y,374624.0,,,,,,,,,,,,
EQD0014,Bacardi,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2027,CUST000014,Courtney Bailey Non-Banking Fin Co,CCP,David Taylor Pub Ltd Company,Forex-LON,Derivatives,IndOptions,Cash,Sell,OTC,New,Y,N,BKUS,Passive,Dow Jones Transportation Average ,22500.0,100.0,224.0,504000000.0,Put,18208.563,17902872.19,19-Nov-2027,European,14915142.8,Y,2520000.0,,,,,,,,,,,,
EQD0015,Bacardi,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,07-Dec-2025,CUST000015,Meredith James Banking Ltd,CCP,Rachel Brown Mutual Fund,Equity-LON,Derivatives,IndOptions,Physical,Buy,OTC,Amended,Y,N,BKUS,Passive,Russell 2000 ,3100.0,50.0,193.0,29915000.0,Put,3330.915,403325.24,05-Dec-2025,American,1279734.82,Y,149575.0,,,,,,,,,,,,
EQD0016,Bacardi,10-Nov-2025,10-Nov-2025,10-Nov-2025,Y,12-May-2026,CUST000016,Melissa Ward Mutual Fund,OTC,Anya Biswas Banking Ltd,FixedIncome-HK,Derivatives,EqFutures,Physical,Buy,OTC,New,Y,N,BKUS,Passive,,,10.0,148.0,489732.0,,,,,,18477.49,Y,2448.66,Visa Inc (V),330.9,EQDF0016,,10-May-2026,309.41329998082244,,,,,,
EQD0017,Bacardi,25-Jul-2024,25-Jul-2024,25-Jul-2024,Y,27-Jul-2025,CUST000017,Dr Martin Wilson Mutual Fund,OTC,Gillian Taylor Brokers Ltd,Equity-HK,Derivatives,IndFutures,Cash,Sell,MTF,New,Y,Y,BKUS,Active,FTSE All-World,662.0,100.0,292.0,19330400.0,,,,,,790898.82,Y,193304.0,,,INDF0017,733.7226845892125,25-Jul-2025,,,,,,,
EQD0018,FrontArena,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Jan-2026,CUST000018,Libni Raghavan Pvt Ltd Company,CCP,Christy Simmons Pvt Ltd Company,Credit-LON,Derivatives,EqSwaps,Physical,Buy,OTC,New,Y,N,BKUS,Passive,,,,,,,,,,,,Y,340731.25,Alphabet Inc Class C (GOOG),317.7,,,,319.0102775414811,68146250.74,6.3,04-Dec-2025,04-Jan-2026,6.231,-0.069
EQD0019,FrontArena,02-Dec-2025,02-Dec-2025,02-Dec-2025,N,04-Dec-2028,CUST000019,Ekapad Sethi Brokers Ltd,CCP,Anthony Williams Brokers Ltd,Credit-LON,Derivatives,IndOptions,Physical,Buy,MTF,New,Y,N,BKUS,Passive,Russell 3000 ,7500.0,50.0,188.0,70500000.0,Call,8649.237,1812790.57,02-Dec-2028,American,2611074.6,Y,705000.0,,,,,,,,,,,,
EQD0020,Bacardi,17-Nov-2025,17-Nov-2025,17-Nov-2025,N,19-Dec-2025,CUST000020,Krish Reddy Banking Ltd,Broker,Elizabeth Case Pvt Ltd Company,FixedIncome-HK,Derivatives,IndOptions,Physical,Sell,OTC,New,Y,N,BKUS,Rebalance,Wilshire 5000,75000.0,250.0,203.0,3806250000.0,Put,73101.7173,126089992.49,17-Dec-2025,European,165654070.16,Y,19031250.0,,,,,,,,,,,,
EQD0021,Sophis,24-Nov-2025,24-Nov-2025,24-Nov-2025,N,26-Nov-2026,CUST000021,Miss Diana Goodwin Banking Ltd,Broker,Adweta Wagle Brokers Ltd,Forex-NY,Derivatives,IndOptions,Physical,Buy,OTC,New,Y,N,BKUS,Rebalance,S&P 100 ,3434.0,200.0,140.0,96152000.0,Call,3769.6464,4774081.62,24-Nov-2026,American,2792132.37,Y,961520.0,,,,,,,,,,,,
EQD0022,FusionCap,28-Aug-2024,28-Aug-2024,28-Aug-2024,Y,30-Aug-2026,CUST000022,Derek Munoz Finance Company,OTC,Alison Shah Banking Ltd,Forex-HK,Derivatives,IndFutures,Physical,Buy,Exchange,New,Y,N,BKUS,Passive,Nasdaq Composite,23414.0,100.0,176.0,412086400.0,,,,,,11759789.26,N,4120864.0,,,INDF0022,22539.74059787605,28-Aug-2026,,,,,,,
EQD0023,Summit,27-Nov-2025,27-Nov-2025,27-Nov-2025,Y,29-Nov-2028,CUST000023,Zehaan Kar Non-Banking Fin Co,Broker,Forum Sachdev Pvt Ltd Company,Equity-LON,Derivatives,IndOptions,Physical,Buy,Exchange,New,N,N,BKUS,Diversify,Russell 2000 ,3100.0,100.0,195.0,60450000.0,Put,2858.4712,850528.58,27-Nov-2028,American,1261198.16,Y,604500.0,,,,,,,,,,,,
EQD0024,Summit,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Dec-2028,CUST000024,Ms Chloe Byrne Pub Ltd Company,OTC,Beth Lamb Pub Ltd Company,FixedIncome-LON,Derivatives,IndOptions,Physical,Sell,Exchange,New,Y,N,BKUS,Active,S&P Global 1200,8500.0,10.0,201.0,17085000.0,Call,8220.3534,174596.85,04-Dec-2028,American,773878.97,Y,85425.0,,,,,,,,,,,,
EQD0025,Bacardi,31-Dec-2024,31-Dec-2024,31-Dec-2024,Y,02-Jan-2028,CUST000025,Kelly Mccall Pub Ltd Company,OTC,Amanda Spencer Finance Company,Credit-HK,Derivatives,IndOptions,Cash,Buy,MTF,New,N,N,BKUS,Rebalance,MSCI World,20850.0,50.0,202.0,210585000.0,Call,18753.2245,5312861.73,31-Dec-2027,American,4832461.19,Y,1052925.0,,,,,,,,,,,,
EQD0026,Bacardi,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,08-Feb-2026,CUST000026,Miss Jessica Grant Finance Company,OTC,Inaya Chacko Pvt Ltd Company,Equity-NY,Derivatives,IndOptions,Physical,Sell,OTC,New,Y,N,BKUS,Active,MSCI World,20850.0,100.0,119.0,248115000.0,Call,24575.3932,3454957.23,06-Feb-2026,European,11558369.43,Y,1240575.0,,,,,,,,,,,,
EQD0027,Sophis,01-Mar-2024,01-Mar-2024,01-Mar-2024,Y,03-Sep-2024,CUST000027,Paige Roberts Finance Company,CCP,Alexa Parker Pub Ltd Company,FixedIncome-LON,Derivatives,IndOptions,Physical,Sell,OTC,New,Y,Y,BKUS,Passive,FTSE All-World,662.0,250.0,168.0,27804000.0,Call,580.9738,1364504.26,01-Sep-2024,European,1129721.74,Y,278040.0,,,,,,,,,,,,
EQD0028,FrontArena,24-Nov-2025,24-Nov-2025,24-Nov-2025,N,26-Nov-2028,CUST000028,Judith Green Pub Ltd Company,OTC,Mohamed Thompson Pub Ltd Company,Equity-HK,Derivatives,IndOptions,Cash,Buy,OTC,New,Y,N,BKUS,Passive,S&P 100 ,3434.0,10.0,184.0,6318560.0,Put,3149.0406,149311.42,24-Nov-2028,European,218292.43,Y,31592.8,,,,,,,,,,,,
EQD0029,FusionCap,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,07-Dec-2025,CUST000029,Patrick Malone Banking Ltd,Broker,Sian Schofield Non-Banking Fin Co,FixedIncome-NY,Derivatives,EqSwaps,Cash,Sell,OTC,New,Y,N,BKUS,Active,,,,,,,,,,,,Y,3089518.92,The Boeing Co (BA),203.96,,,,198.11400664321133,617903784.97,5.1,05-Nov-2025,05-Dec-2025,5.8577,0.7577
EQD0030,Summit,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,15-Nov-2026,CUST000030,Wishi Bedi Non-Banking Fin Co,Broker,Angela White Non-Banking Fin Co,Forex-HK,Derivatives,EqFutures,Cash,Sell,MTF,New,Y,N,BKUS,Active,,,50.0,110.0,1001550.0,,,,,,23444.05,Y,5007.75,NVIDIA Corp (NVDA),182.1,EQDF0030,,13-Nov-2026,175.3252033831768,,,,,,
EQD0031,FusionCap,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Nov-2028,CUST000031,Sai Bhatti Pub Ltd Company,Broker,Mary Holt Brokers Ltd,Equity-NY,Derivatives,IndFutures,Cash,Sell,Exchange,New,Y,N,BKUS,Passive,Cboe Volatility Index (VIX) ,16.6,250.0,211.0,875650.0000000001,,,,,,36682.5,Y,4378.25,,,INDF0031,17.832743835720375,18-Nov-2028,,,,,,,
EQD0032,Sophis,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,07-May-2026,CUST000032,Heather Perez Finance Company,Broker,Brian Sampson Mutual Fund,Equity-HK,Derivatives,IndOptions,Physical,Buy,MTF,New,Y,N,BKUS,Diversify,Cboe Volatility Index (VIX) ,16.6,100.0,196.0,325360.00000000006,Call,14.7258,3882.35,05-May-2026,European,7517.63,N,1626.8,,,,,,,,,,,,
EQD0033,Sophis,17-Nov-2025,17-Nov-2025,17-Nov-2025,Y,19-May-2026,CUST000033,Crystal Johnson Pvt Ltd Company,Broker,Caitlin Osborne Finance Company,Credit-HK,Derivatives,EqOptions,Cash,Buy,Exchange,New,Y,N,BKUS,Active,,,250.0,140.0,6049050.0,Call,206.5049,145208.8,17-May-2026,European,131607.32,Y,60490.5,Palantir Technologies Inc (PLTR),172.83,,,,,,,,,,
EQD0034,Sophis,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,08-Feb-2026,CUST000034,Vedant Sama Non-Banking Fin Co,Broker,Mr Gordon Bolton Banking Ltd,Equity-HK,Derivatives,IndOptions,Cash,Buy,OTC,New,Y,N,BKUS,Diversify,Cboe Volatility Index (VIX) ,16.6,250.0,203.0,842450.0,Call,18.2146,40322.28,06-Feb-2026,European,20040.92,Y,4212.25,,,,,,,,,,,,
EQD0035,FusionCap,20-Nov-2025,20-Nov-2025,20-Nov-2025,Y,22-Nov-2027,CUST000035,Gautam Bahl Banking Ltd,CCP,William Waller Non-Banking Fin Co,Credit-NY,Derivatives,IndOptions,Physical,Sell,Exchange,New,N,N,BKUS,Diversify,Nasdaq Composite,23414.0,250.0,236.0,1381426000.0,Call,27436.6656,48947494.66,20-Nov-2027,American,28840601.06,N,6907130.0,,,,,,,,,,,,
EQD0036,Bacardi,07-Nov-2025,07-Nov-2025,07-Nov-2025,Y,09-Nov-2028,CUST000036,Trevor Moss Banking Ltd,Broker,Dr. Matthew Thompson Pvt Ltd Company,Credit-NY,Derivatives,IndOptions,Physical,Buy,MTF,New,Y,N,BKUS,Active,S&P 1500,6500.0,10.0,215.0,13975000.0,Call,6374.2456,657520.3,07-Nov-2028,European,361505.0,Y,69875.0,,,,,,,,,,,,
EQD0037,Bacardi,21-Nov-2025,21-Nov-2025,21-Nov-2025,Y,23-May-2026,CUST000037,Rachana Sampath Pvt Ltd Company,CCP,Christian Black Non-Banking Fin Co,Credit-NY,Derivatives,IndOptions,Cash,Buy,MTF,New,Y,N,BKUS,Passive,Russell 2000 ,3100.0,10.0,188.0,5828000.0,Call,3098.3669,242470.69,21-May-2026,American,222892.32,Y,29140.0,,,,,,,,,,,,
EQD0038,Bacardi,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,15-Dec-2025,CUST000038,Brittany Dalton Non-Banking Fin Co,OTC,Mr Philip Sutton Non-Banking Fin Co,Credit-LON,Derivatives,IndOptions,Cash,Sell,Exchange,New,Y,N,BKUS,Active,S&P Global 1200,8500.0,200.0,142.0,241400000.0,Call,9299.3031,5252502.25,13-Dec-2025,American,9346978.65,Y,1207000.0,,,,,,,,,,,,
EQD0039,FrontArena,20-Nov-2025,20-Nov-2025,20-Nov-2025,Y,22-Nov-2028,CUST000039,Brinda Vasa Mutual Fund,CCP,Glen West Non-Banking Fin Co,Forex-HK,Derivatives,IndOptions,Physical,Buy,OTC,New,Y,N,BKUS,Passive,Dow Jones Transportation Average ,22500.0,200.0,276.0,1242000000.0,Call,21822.8953,54697271.49,20-Nov-2028,American,28771605.98,Y,6210000.0,,,,,,,,,,,,
EQD0040,Bacardi,01-Jul-2024,01-Jul-2024,01-Jul-2024,Y,03-Aug-2024,CUST000040,Jeremy Martin Pub Ltd Company,OTC,Dayita Srivastava Banking Ltd,FixedIncome-HK,Derivatives,IndOptions,Cash,Sell,Exchange,New,Y,Y,BKUS,Passive,S&P MidCap 400,3500.0,150.0,137.0,71925000.0,Put,3674.1725,1674443.01,01-Aug-2024,European,2877915.75,Y,359625.0,,,,,,,,,,,,
EQD0041,Sophis,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,07-Dec-2025,CUST000041,Atharv Kohli Non-Banking Fin Co,CCP,Ms Carly Foster Pub Ltd Company,Forex-HK,Derivatives,IndOptions,Cash,Buy,OTC,New,Y,N,BKUS,Diversify,S&P 1500,6500.0,100.0,263.0,170950000.0,Call,7009.3797,7406047.03,05-Dec-2025,American,6392051.2,Y,854750.0,,,,,,,,,,,,
EQD0042,FrontArena,03-Nov-2025,03-Nov-2025,03-Nov-2025,Y,05-Nov-2028,CUST000042,Yuvraj Dani Mutual Fund,Broker,Anna Bradley-Stephens Banking Ltd,Forex-HK,Derivatives,IndOptions,Cash,Sell,Exchange,New,Y,N,BKUS,Diversify,Cboe Volatility Index (VIX) ,16.6,250.0,276.0,1145400.0,Put,13.3731,29106.77,03-Nov-2028,American,24577.66,Y,5727.0,,,,,,,,,,,,
EQD0043,FrontArena,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Jan-2026,CUST000043,Ms Fiona Sharp Mutual Fund,OTC,Janice Coleman Banking Ltd,Forex-LON,Derivatives,IndOptions,Cash,Sell,OTC,New,Y,N,BKUS,Rebalance,FTSE All-World,662.0,100.0,163.0,10790600.0,Put,697.7665,433310.54,04-Jan-2026,European,261034.12,Y,107906.0,,,,,,,,,,,,
EQD0044,FusionCap,14-Nov-2025,14-Nov-2025,14-Nov-2025,Y,16-Nov-2026,CUST000044,Mr Shane Murphy Banking Ltd,OTC,Ira Patla Banking Ltd,FixedIncome-NY,Derivatives,IndOptions,Cash,Buy,OTC,Cancelled,N,N,BKUS,Passive,S&P 1500,6500.0,100.0,139.0,90350000.0,Put,7558.4512,1264538.64,14-Nov-2026,American,2328748.6,Y,903500.0,,,,,,,,,,,,
EQD0045,Bacardi,18-Nov-2025,18-Nov-2025,18-Nov-2025,Y,20-Feb-2026,CUST000045,Daniel Brown Pub Ltd Company,CCP,James Jones Mutual Fund,FixedIncome-HK,Derivatives,IndOptions,Physical,Buy,OTC,Amended,Y,N,BKUS,Rebalance,S&P 500 ,6815.0,200.0,275.0,374825000.0,Call,7822.3672,12162067.91,18-Feb-2026,European,12160293.94,Y,3748250.0,,,,,,,,,,,,
EQD0046,Bacardi,06-Aug-2025,06-Aug-2025,06-Aug-2025,Y,08-Sep-2025,CUST000046,Vasudha Din Mutual Fund,CCP,Shawn Reynolds Non-Banking Fin Co,FixedIncome-LON,Derivatives,EqSwaps,Physical,Buy,OTC,Amended,N,Y,BKUS,Diversify,,,,,,,,,,,,Y,644522.08,Visa Inc (V),330.9,,,,326.8004145910185,128904416.8,9.7,06-Aug-2025,06-Sep-2025,9.1061,-0.5939
EQD0047,Summit,09-Aug-2024,09-Aug-2024,09-Aug-2024,Y,11-Nov-2024,CUST000047,Trevor Bray Finance Company,Broker,Turvi Rana Mutual Fund,Credit-LON,Derivatives,IndFutures,Physical,Sell,Exchange,New,Y,Y,BKUS,Passive,Nasdaq Composite,23414.0,10.0,289.0,67666460.0,,,,,,1638761.91,Y,676664.6,,,INDF0047,24900.670128238984,09-Nov-2024,,,,,,,
EQD0048,FrontArena,05-Dec-2025,05-Dec-2025,05-Dec-2025,Y,07-Mar-2026,CUST000048,Gagan Parikh Banking Ltd,OTC,Jose Watson Pub Ltd Company,Equity-NY,Derivatives,IndOptions,Physical,Sell,Exchange,New,Y,N,BKUS,Passive,Nasdaq Composite,23414.0,10.0,233.0,54554620.0,Put,22040.3385,1216454.88,05-Mar-2026,American,1604341.26,Y,545546.2,,,,,,,,,,,,
EQD0049,FusionCap,21-Nov-2025,21-Nov-2025,21-Nov-2025,Y,23-Nov-2028,CUST000049,William Cook Non-Banking Fin Co,Broker,Debbie Fox Pub Ltd Company,Equity-LON,Derivatives,EqOptions,Physical,Buy,OTC,New,Y,N,BKUS,Active,,,50.0,236.0,4432080.0,Put,415.7007,168391.29,21-Nov-2028,American,114440.42,Y,22160.4,Broadcom Inc (AVGO),375.6,,,,,,,,,,
EQD0050,Summit,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,08-Nov-2026,CUST000050,Belinda Matthews Mutual Fund,OTC,Robert Myers Finance Company,FixedIncome-HK,Derivatives,IndOptions,Physical,Buy,Exchange,New,Y,N,BKUS,Passive,Russell 2000 ,3100.0,50.0,197.0,30535000.0,Call,2966.6251,1247533.18,06-Nov-2026,European,1289862.08,Y,305350.0,,,,,,,,,,,,
EQD0051,FusionCap,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,30-Nov-2027,CUST000051,Logan Majumdar Brokers Ltd,Broker,Jillian Gutierrez Pub Ltd Company,Equity-LON,Derivatives,IndOptions,Cash,Buy,Exchange,New,Y,N,BKUS,Active,S&P Global 1200,8500.0,250.0,283.0,601375000.0,Call,9407.7725,26421339.18,28-Nov-2027,American,20816842.52,Y,6013750.0,,,,,,,,,,,,
EQD0052,FrontArena,26-Dec-2024,26-Dec-2024,26-Dec-2024,Y,28-Mar-2025,CUST000052,Patricia Kerr Pvt Ltd Company,OTC,Calvin Hernandez Brokers Ltd,FixedIncome-NY,Derivatives,IndFutures,Cash,Buy,OTC,New,Y,Y,BKUS,Diversify,S&P 100 ,3434.0,150.0,293.0,150924300.0,,,,,,7453457.23,N,1509243.0,,,INDF0052,3736.617946182672,26-Mar-2025,,,,,,,
EQD0053,Sophis,04-Nov-2025,04-Nov-2025,04-Nov-2025,Y,06-Feb-2026,CUST000053,Nicholas Cunningham Non-Banking Fin Co,Broker,Ann Velazquez Brokers Ltd,FixedIncome-LON,Derivatives,EqOptions,Physical,Buy,MTF,New,Y,N,BKUS,Passive,,,50.0,279.0,8980312.5,Call,665.7384,363945.61,04-Feb-2026,American,380823.85,Y,44901.56,"Meta Platforms, Inc. (META)",643.75,,,,,,,,,,
EQD0054,FusionCap,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2027,CUST000054,Edward Montoya Pvt Ltd Company,CCP,Stanley Quinn Non-Banking Fin Co,Forex-LON,Derivatives,IndOptions,Physical,Buy,Exchange,New,Y,N,BKUS,Rebalance,Nasdaq-100 ,25556.0,100.0,151.0,385895600.0,Call,26031.0487,4902593.35,19-Nov-2027,American,12660867.1,Y,1929478.0,,,,,,,,,,,,
EQD0055,Sophis,25-Nov-2025,25-Nov-2025,25-Nov-2025,Y,27-Feb-2026,CUST000055,Miss Amanda Cantrell Mutual Fund,OTC,Osha Shere Pvt Ltd Company,Credit-LON,Derivatives,IndOptions,Cash,Sell,OTC,New,Y,N,BKUS,Active,Cboe Volatility Index (VIX) ,16.6,50.0,123.0,102090.00000000001,Call,15.4903,3435.55,25-Feb-2026,European,4770.67,Y,1020.9,,,,,,,,,,,,
EQD0056,Summit,03-Aug-2023,03-Aug-2023,03-Aug-2023,Y,05-Nov-2023,CUST000056,Elizabeth Reid Brokers Ltd,OTC,Om Parikh Pub Ltd Company,Equity-HK,Derivatives,IndOptions,Physical,Buy,Exchange,New,Y,Y,BKUS,Active,Russell 3000 ,7500.0,100.0,144.0,108000000.0,Call,7334.3756,4718296.67,03-Nov-2023,American,5238542.27,Y,540000.0,,,,,,,,,,,,
EQD0057,Summit,10-Jan-2025,10-Jan-2025,10-Jan-2025,Y,12-Feb-2025,CUST000057,Jacob Hughes Brokers Ltd,OTC,Lori Sexton Brokers Ltd,Forex-LON,Derivatives,IndOptions,Cash,Buy,OTC,New,Y,Y,BKUS,Passive,MSCI World,20850.0,50.0,236.0,246030000.0,Call,21431.2932,4460584.01,10-Feb-2025,American,6765572.14,Y,2460300.0,,,,,,,,,,,,
EQD0058,Bacardi,01-Dec-2025,01-Dec-2025,01-Dec-2025,N,03-Jan-2026,CUST000058,Benjamin Williams Banking Ltd,Broker,Courtney Harding Mutual Fund,Equity-LON,Derivatives,IndOptions,Physical,Sell,Exchange,New,Y,N,BKUS,Rebalance,S&P SmallCap 600,1900.0,250.0,227.0,107825000.0,Call,1651.6353,1527176.99,01-Jan-2026,European,3324220.89,Y,539125.0,,,,,,,,,,,,
EQD0059,Summit,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,06-Dec-2028,CUST000059,Eric Ramos Finance Company,CCP,David Ramos Pub Ltd Company,Equity-HK,Derivatives,IndOptions,Physical,Buy,MTF,New,Y,N,BKUS,Passive,MSCI World,20850.0,150.0,289.0,903847500.0,Put,23548.8534,33553322.37,04-Dec-2028,American,43602045.25,Y,9038475.0,,,,,,,,,,,,
