Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Currency_pair,Base_currency,Quote_currency,Exchange_rate,Base_amount,Quote_amount,Base_amount_usd,Buy_sell,Settlement_date,Fees_commission,Execution_venue,Trade_status,Trade_capture_stp,Settlement_status,Legal_entity,Portfolio_strategy,Near_leg_date,Far_leg_date,Near_leg_rate,Far_leg_rate,Near_leg_amount,Far_leg_amount,Swap_points,Settlement_type,Settlement_stp,forward rate,Maturity_date_fwd,Option_type,Strike_price,Premium,Expiry_date,Style,Contract_code,Contract_size,futures_rate,Maturity_date_fut,Number_of_contracts,Initial Margin
FXS0011,Summit,24-Nov-2025,24-Nov-2025,24-Nov-2025,Y,CUST000011,Sheryl Martinez Finance Company,OTC,Brinda Borra Mutual Fund,Credit-LON,Derivatives,FxForwards,EGP/EUR,EGP,EUR,0.0216,36099888644.24,781545124.48,758097661.53,Sell,26-Dec-2025,180499443.22,OTC,Amended,Y,N,BKUS,Active,,,,,,,,Physical,Y,0.0258,24-Dec-2025,,,,,,,,,,,
FXS0012,Murex,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,CUST000012,Charlotte Levy Mutual Fund,Broker,Ijaya Tata Non-Banking Fin Co,FixedIncome-LON,Derivatives,FxSwaps,ZAR/AUD,ZAR,AUD,0.099,3426264664.81,339235922.35,191870821.23,Sell,28-Nov-2028,34262646.65,OTC,New,Y,N,BKUS,Active,26-Nov-2025,26-Nov-2028,0.099,0.0858,3426264664.81,293854304.98,-0.0132,Cash,Y,,,,,,,,,,,,,
FXS0013,FusionCap,05-Dec-2025,05-Dec-2025,05-Dec-2025,Y,CUST000013,Triya Gandhi Banking Ltd,Broker,Anna Taylor-Bond Pub Ltd Company,Credit-NY,Derivatives,FxForwards,CNY/EGP,CNY,EGP,7.0665,2395241993.54,16926067797.8,335333879.1,Sell,07-Mar-2026,11976209.97,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Physical,Y,6.0243,05-Mar-2026,,,,,,,,,,,
FXS0014,Sophis,12-Nov-2025,12-Nov-2025,12-Nov-2025,Y,CUST000014,Keith Long Finance Company,Broker,Meghana Bobal Pub Ltd Company,FixedIncome-LON,Derivatives,FxSwaps,ZAR/EUR,ZAR,EUR,0.0526,12858296172.64,675766080.86,720064585.67,Sell,14-Nov-2026,128582961.73,OTC,New,Y,N,BKUS,Passive,12-Nov-2025,12-Nov-2026,0.0526,0.0428,12858296172.64,550950131.57,-0.0097,Cash,Y,,,,,,,,,,,,,
FXS0015,FusionCap,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,CUST000015,Gabriel Hill Non-Banking Fin Co,OTC,Zayan Koshy Non-Banking Fin Co,Equity-NY,Derivatives,FxForwards,DKK/VEF,DKK,VEF,1.845,4879764389.35,9003299860.0,731964658.4,Sell,13-Nov-2028,48797643.89,OTC,New,Y,N,BKUS,Diversify,,,,,,,,Physical,Y,1.5715,11-Nov-2028,,,,,,,,,,,
FXS0016,Sophis,09-Apr-2025,09-Apr-2025,09-Apr-2025,Y,CUST000016,Vihaan Sarin Non-Banking Fin Co,Broker,Aditya Ray Mutual Fund,Forex-HK,Derivatives,FxOptions,EGP/JPY,EGP,JPY,2.7228,31286915263.94,85187532355.91,657025220.54,Sell,11-Jul-2025,312869152.64,OTC,New,Y,N,BKUS,Passive,,,,,,,,Cash,Y,,,Call,2.2878,578130677.6207502,09-Jul-2025,American,,,,,,
FXS0017,Murex,17-Nov-2025,17-Nov-2025,17-Nov-2025,Y,CUST000017,Gareth Wright-Wilson Brokers Ltd,OTC,Aaron Ramirez Pvt Ltd Company,Equity-HK,Derivatives,FxSwaps,VEF/JPY,VEF,JPY,12.6902,9687235287.63,122933177515.1,774978823.01,Sell,19-May-2026,48436176.44,OTC,Amended,Y,N,BKUS,Active,17-Nov-2025,17-May-2026,12.6902,13.5332,9687235287.63,131099594062.06,0.843,Cash,Y,,,,,,,,,,,,,
FXS0018,Murex,12-Nov-2025,12-Nov-2025,12-Nov-2025,Y,CUST000018,Lawrence Stevenson Mutual Fund,Broker,Melissa Velez Pub Ltd Company,Equity-LON,Derivatives,FxSwaps,DKK/VEF,DKK,VEF,1.9975,854689320.88,1707229702.48,128203398.13,Buy,14-Dec-2025,4273446.6,OTC,Amended,Y,N,BKUS,Rebalance,12-Nov-2025,12-Dec-2025,1.9975,1.7417,854689320.88,1488599654.98,-0.2558,Cash,Y,,,,,,,,,,,,,
FXS0019,FusionCap,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,CUST000019,Madison Smith Finance Company,Broker,William Torres Finance Company,FixedIncome-LON,Derivatives,FxSwaps,SGD/ZAR,SGD,ZAR,12.9219,142331310.37,1839191390.77,111018422.09,Sell,15-Nov-2027,711656.55,OTC,New,Y,N,BKUS,Active,13-Nov-2025,13-Nov-2027,12.9219,10.4232,142331310.37,1483554690.35,-2.4987,Cash,Y,,,,,,,,,,,,,
FXS0020,Sophis,24-Nov-2025,24-Nov-2025,24-Nov-2025,Y,CUST000020,Ricky Smith Brokers Ltd,OTC,Bhavika Maharaj Brokers Ltd,Credit-LON,Derivatives,FxForwards,CNY/ZAR,CNY,ZAR,2.6437,4140669422.97,10946576510.62,579693719.22,Sell,26-Dec-2025,41406694.23,OTC,New,Y,N,BKUS,Passive,,,,,,,,Physical,Y,2.4982,24-Dec-2025,,,,,,,,,,,
FXS0021,FrontArena,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,CUST000021,Alicia Nguyen Mutual Fund,Broker,Paul Wood Pub Ltd Company,Forex-NY,Derivatives,FxForwards,DKK/JPY,DKK,JPY,23.0904,6419015318.75,148217882380.77,962852297.81,Buy,15-Nov-2028,64190153.19,OTC,New,Y,N,BKUS,Diversify,,,,,,,,Physical,Y,24.2264,13-Nov-2028,,,,,,,,,,,
FXS0022,Summit,09-Apr-2024,09-Apr-2024,09-Apr-2024,Y,CUST000022,Stephanie Hickman Mutual Fund,OTC,Balendra Bora Non-Banking Fin Co,Credit-HK,Derivatives,FxSwaps,EGP/DKK,EGP,DKK,0.1473,40919345476.51,6029360239.17,859306255.01,Buy,11-Apr-2027,204596727.38,OTC,New,Y,N,BKUS,Passive,09-Apr-2024,09-Apr-2027,0.1473,0.1626,40919345476.51,6653615600.36,0.0153,Cash,Y,,,,,,,,,,,,,
FXS0023,Summit,07-Nov-2025,07-Nov-2025,07-Nov-2025,Y,CUST000023,Benjamin Moore Non-Banking Fin Co,Broker,Eesha Golla Non-Banking Fin Co,Credit-NY,Derivatives,FxSwaps,SGD/DKK,SGD,DKK,5.1303,1230549355.28,6313079710.31,959828497.12,Buy,09-May-2026,12305493.55,OTC,New,Y,N,BKUS,Rebalance,07-Nov-2025,07-May-2026,5.1303,4.2522,1230549355.28,5232513276.7,-0.8781,Cash,Y,,,,,,,,,,,,,
FXS0024,FusionCap,21-Feb-2023,21-Feb-2023,21-Feb-2023,Y,CUST000024,Elizabeth Morgan Banking Ltd,OTC,Joseph Dawson Banking Ltd,Forex-NY,Derivatives,FxFutures,ZAR/CAD,ZAR,CAD,0.0848,13816847868.52,1171070582.71,773743480.64,Sell,23-Aug-2023,138168478.69,Exchange,New,Y,Y,BKUS,Diversify,,,,,,,,Physical,Y,,,,,,,,GBPUSD-M25-ICE,125000.0,0.0682,21-Aug-2023,22.0,382794184.36
FXS0025,Summit,17-Nov-2025,17-Nov-2025,17-Nov-2025,Y,CUST000025,Onkar Mall Brokers Ltd,OTC,Charles Jones Mutual Fund,Forex-NY,Derivatives,FxSwaps,VEF/AUD,VEF,AUD,0.127,9459731777.52,1201311323.73,756778542.2,Buy,19-Nov-2028,47298658.89,OTC,New,Y,N,BKUS,Passive,17-Nov-2025,17-Nov-2028,0.127,0.1259,9459731777.52,1190896561.57,-0.0011,Cash,Y,,,,,,,,,,,,,
FXS0026,FusionCap,03-Nov-2025,03-Nov-2025,03-Nov-2025,Y,CUST000026,Theresa Jackson Pub Ltd Company,Broker,Victoria Bryan Finance Company,FixedIncome-HK,Derivatives,FxOptions,USD/SGD,USD,SGD,1.1661,547729544.7,638706719.74,547729544.7,Sell,05-Nov-2026,5477295.45,OTC,New,N,N,BKUS,Diversify,,,,,,,,Cash,Y,,,Call,1.0873,13351136.862873051,03-Nov-2026,European,,,,,,
FXS0027,Murex,07-Nov-2025,07-Nov-2025,07-Nov-2025,Y,CUST000027,Allison Lewis Non-Banking Fin Co,Broker,Anna Todd Finance Company,Credit-HK,Derivatives,FxSwaps,SGD/CNY,SGD,CNY,4.8067,420158522.4,2019592464.43,327723647.47,Buy,09-Feb-2026,4201585.22,OTC,New,Y,N,BKUS,Active,07-Nov-2025,07-Feb-2026,4.8067,5.36,420158522.4,2252061025.24,0.5533,Cash,Y,,,,,,,,,,,,,
FXS0028,FusionCap,25-Nov-2025,25-Nov-2025,25-Nov-2025,N,CUST000028,James Franklin Pvt Ltd Company,Broker,Joshua Power Pub Ltd Company,Credit-HK,Derivatives,FxSwaps,EGP/DKK,EGP,DKK,0.1259,19113475549.26,2407140166.5,401382986.53,Buy,27-May-2026,191134755.49,OTC,New,Y,N,BKUS,Rebalance,25-Nov-2025,25-May-2026,0.1259,0.1204,19113475549.26,2301263518.87,-0.0055,Cash,N,,,,,,,,,,,,,
FXS0029,Sophis,12-Jun-2025,12-Jun-2025,12-Jun-2025,Y,CUST000029,William Hall Brokers Ltd,OTC,Adweta Chaudhary Mutual Fund,Forex-HK,Derivatives,FxOptions,CNY/AUD,CNY,AUD,0.231,1237436009.76,285814986.88,173241041.37,Buy,14-Jun-2028,12374360.1,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Cash,Y,,,Put,0.2134,27277595.64681328,12-Jun-2028,European,,,,,,
FXS0030,Murex,26-Apr-2024,26-Apr-2024,26-Apr-2024,Y,CUST000030,Urishilla Mangal Non-Banking Fin Co,Broker,Chavvi Narain Pvt Ltd Company,Equity-HK,Derivatives,FxSwaps,DKK/EGP,DKK,EGP,7.9132,5228364776.04,41373169249.37,784254716.41,Buy,28-Oct-2024,26141823.88,OTC,New,Y,Y,BKUS,Rebalance,26-Apr-2024,26-Oct-2024,7.9132,8.072,5228364776.04,42203468761.97,0.1588,Cash,Y,,,,,,,,,,,,,
FXS0031,Sophis,03-Nov-2025,03-Nov-2025,03-Nov-2025,Y,CUST000031,Ishaan Sangha Non-Banking Fin Co,OTC,Mr Terry Day Banking Ltd,Equity-LON,Derivatives,FxForwards,ZAR/VEF,ZAR,VEF,0.6972,12240414445.87,8534559890.06,685463208.97,Sell,05-Feb-2026,61202072.23,OTC,New,Y,N,BKUS,Diversify,,,,,,,,Physical,Y,0.6583,03-Feb-2026,,,,,,,,,,,
FXS0032,FusionCap,07-Nov-2025,07-Nov-2025,07-Nov-2025,Y,CUST000032,Jennifer Barron Brokers Ltd,Broker,Zilmil Saran Finance Company,Equity-HK,Derivatives,FxSwaps,EGP/USD,EGP,USD,0.0201,25190951158.22,506016347.17,529009974.32,Buy,09-Feb-2026,125954755.79,OTC,New,Y,N,BKUS,Rebalance,07-Nov-2025,07-Feb-2026,0.0201,0.0177,25190951158.22,445965883.79,-0.0024,Cash,Y,,,,,,,,,,,,,
FXS0033,FrontArena,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,CUST000033,Rajata Rastogi Brokers Ltd,Broker,Kathryn Campbell Pub Ltd Company,FixedIncome-LON,Derivatives,FxSwaps,USD/ZAR,USD,ZAR,17.1526,656408513.19,11259107945.5,656408513.19,Buy,08-Dec-2025,6564085.13,OTC,New,Y,N,BKUS,Passive,06-Nov-2025,06-Dec-2025,17.1526,15.9735,656408513.19,10485154478.64,-1.1791,Cash,Y,,,,,,,,,,,,,
FXS0034,FrontArena,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,CUST000034,George Dani Mutual Fund,Broker,Jose Simmons Mutual Fund,Forex-NY,Derivatives,FxSwaps,CNY/EGP,CNY,EGP,6.1012,6694391781.55,40843975881.06,937214849.42,Sell,07-Dec-2025,66943917.82,OTC,New,Y,N,BKUS,Active,05-Nov-2025,05-Dec-2025,6.1012,5.9107,6694391781.55,39568399443.05,-0.1905,Cash,Y,,,,,,,,,,,,,
FXS0035,FrontArena,02-Jul-2024,02-Jul-2024,02-Jul-2024,Y,CUST000035,Susan Lewis-Kelly Mutual Fund,OTC,Radhika Varghese Brokers Ltd,Equity-HK,Derivatives,FxForwards,DKK/CNY,DKK,CNY,0.9493,5827517360.94,5532273204.98,874127604.14,Buy,04-Jul-2025,29137586.8,OTC,New,Y,Y,BKUS,Passive,,,,,,,,Physical,Y,1.0733,02-Jul-2025,,,,,,,,,,,
FXS0036,FusionCap,17-Nov-2025,17-Nov-2025,17-Nov-2025,Y,CUST000036,Marcia Carr Brokers Ltd,OTC,Jason Choudhry Brokers Ltd,FixedIncome-HK,Derivatives,FxForwards,USD/ZAR,USD,ZAR,20.4818,818809969.75,16770737206.13,818809969.75,Sell,19-May-2026,8188099.7,OTC,New,Y,N,BKUS,Active,,,,,,,,Physical,Y,21.1518,17-May-2026,,,,,,,,,,,
FXS0037,FusionCap,08-Oct-2024,08-Oct-2024,08-Oct-2024,Y,CUST000037,Sheila Cooper Pub Ltd Company,Broker,Deepa Bhargava Brokers Ltd,FixedIncome-LON,Derivatives,FxForwards,SGD/USD,SGD,USD,0.7393,569791991.31,421218883.23,444437753.22,Buy,10-Nov-2024,2848959.96,OTC,New,Y,Y,BKUS,Active,,,,,,,,Physical,Y,0.7509,08-Nov-2024,,,,,,,,,,,
FXS0038,FrontArena,18-Nov-2024,18-Nov-2024,18-Nov-2024,Y,CUST000038,Antony Brookes Pvt Ltd Company,Broker,Hemangini Chauhan Banking Ltd,FixedIncome-NY,Derivatives,FxSwaps,DKK/USD,DKK,USD,0.1646,5350739062.04,880884560.18,802610859.31,Buy,20-May-2025,26753695.31,OTC,New,Y,Y,BKUS,Diversify,18-Nov-2024,18-May-2025,0.1646,0.1356,5350739062.04,725665683.12,-0.029,Cash,Y,,,,,,,,,,,,,
FXS0039,FusionCap,02-Dec-2025,02-Dec-2025,02-Dec-2025,N,CUST000039,Ricky Farley Pub Ltd Company,Broker,Amol Sen Brokers Ltd,Equity-LON,Derivatives,FxSwaps,DKK/AUD,DKK,AUD,0.2273,6058149015.58,1376825085.28,908722352.34,Sell,04-Mar-2026,60581490.16,OTC,New,Y,N,BKUS,Diversify,02-Dec-2025,02-Mar-2026,0.2273,0.2672,6058149015.58,1618607658.81,0.0399,Cash,Y,,,,,,,,,,,,,
FXS0040,FusionCap,09-Jun-2023,09-Jun-2023,09-Jun-2023,Y,CUST000040,Samantha Nguyen Mutual Fund,Broker,Michael Cross Pvt Ltd Company,FixedIncome-NY,Derivatives,FxForwards,ZAR/CAD,ZAR,CAD,0.0821,11347680905.06,931682639.25,635470130.68,Buy,11-Dec-2023,113476809.05,OTC,New,Y,Y,BKUS,Passive,,,,,,,,Physical,Y,0.0925,09-Dec-2023,,,,,,,,,,,
FXS0041,FrontArena,24-Nov-2025,24-Nov-2025,24-Nov-2025,Y,CUST000041,Rhys Brown Banking Ltd,Broker,James Vaughn Pvt Ltd Company,FixedIncome-NY,Derivatives,FxForwards,CNY/DKK,CNY,DKK,0.9906,6659251558.26,6596911959.63,932295218.16,Buy,26-Feb-2026,33296257.79,OTC,New,Y,N,BKUS,Active,,,,,,,,Physical,Y,0.8806,24-Feb-2026,,,,,,,,,,,
FXS0042,FusionCap,03-Dec-2025,03-Dec-2025,03-Dec-2025,Y,CUST000042,Paul Smith Brokers Ltd,OTC,Sai Mani Pvt Ltd Company,FixedIncome-HK,Derivatives,FxSwaps,DKK/SGD,DKK,SGD,0.1809,6587942403.22,1191457192.66,988191360.48,Sell,05-Dec-2026,32939712.02,OTC,New,Y,N,BKUS,Rebalance,03-Dec-2025,03-Dec-2026,0.1809,0.1844,6587942403.22,1214701774.37,0.0035,Cash,Y,,,,,,,,,,,,,
FXS0043,FusionCap,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,CUST000043,Sean Miller Non-Banking Fin Co,Broker,Miss Diana Porter Finance Company,Credit-NY,Derivatives,FxSwaps,VEF/ZAR,VEF,ZAR,1.5646,7085188500.34,11085213119.85,566815080.03,Buy,28-Nov-2026,35425942.5,OTC,New,Y,N,BKUS,Rebalance,26-Nov-2025,26-Nov-2026,1.5646,1.2527,7085188500.34,8875839706.09,-0.3118,Cash,Y,,,,,,,,,,,,,
FXS0044,Murex,05-Mar-2025,05-Mar-2025,05-Mar-2025,Y,CUST000044,Holly Gutierrez Non-Banking Fin Co,Broker,Aditya Raju Brokers Ltd,FixedIncome-NY,Derivatives,FxSwaps,CNY/SGD,CNY,SGD,0.1631,5302828791.64,864863631.14,742396030.83,Buy,07-Mar-2028,53028287.92,OTC,New,N,N,BKUS,Diversify,05-Mar-2025,05-Mar-2028,0.1631,0.1514,5302828791.64,803001946.4,-0.0117,Cash,Y,,,,,,,,,,,,,
FXS0045,Sophis,19-Nov-2025,19-Nov-2025,19-Nov-2025,N,CUST000045,Faraj Parekh Mutual Fund,Broker,Lisa Miller Pub Ltd Company,Equity-NY,Derivatives,FxSwaps,USD/DKK,USD,DKK,6.0551,726855601.5,4401161939.21,726855601.5,Buy,21-Nov-2027,3634278.01,OTC,New,N,N,BKUS,Diversify,19-Nov-2025,19-Nov-2027,6.0551,5.0209,726855601.5,3649482736.82,-1.0342,Cash,Y,,,,,,,,,,,,,
FXS0046,Summit,25-Nov-2025,25-Nov-2025,25-Nov-2025,Y,CUST000046,Darren Jenkins Pub Ltd Company,OTC,Qasim Kohli Mutual Fund,FixedIncome-HK,Derivatives,FxSwaps,CNY/JPY,CNY,JPY,20.6127,2604124419.5,53678019292.92,364577418.73,Sell,27-Feb-2026,26041244.2,OTC,New,Y,N,BKUS,Diversify,25-Nov-2025,25-Feb-2026,20.6127,21.488,2604124419.5,55957349092.68,0.8753,Cash,Y,,,,,,,,,,,,,
FXS0047,FrontArena,02-Dec-2025,02-Dec-2025,02-Dec-2025,Y,CUST000047,Jennifer Mccormick Pvt Ltd Company,OTC,Jake Tomlinson-Todd Finance Company,Forex-NY,Derivatives,FxForwards,ZAR/VEF,ZAR,VEF,0.7321,14400474800.27,10542036033.94,806426588.82,Buy,04-Jun-2026,144004748.0,OTC,New,N,N,BKUS,Diversify,,,,,,,,Physical,Y,0.6757,02-Jun-2026,,,,,,,,,,,
FXS0048,FrontArena,27-Nov-2025,27-Nov-2025,27-Nov-2025,Y,CUST000048,Leslie Porter Banking Ltd,Broker,Mr. Brian Richards DDS Pub Ltd Company,FixedIncome-NY,Derivatives,FxSwaps,DKK/EGP,DKK,EGP,7.5651,4180235467.5,31623979969.66,627035320.13,Sell,01-Mar-2026,41802354.68,OTC,New,Y,N,BKUS,Rebalance,27-Nov-2025,27-Feb-2026,7.5651,7.7256,4180235467.5,32294981416.63,0.1605,Cash,Y,,,,,,,,,,,,,
FXS0049,FusionCap,14-Nov-2025,14-Nov-2025,14-Nov-2025,Y,CUST000049,Leena Sengupta Pvt Ltd Company,Broker,Rebecca Jones Finance Company,Equity-LON,Derivatives,FxFutures,ZAR/GBP,ZAR,GBP,0.0511,11818053764.38,604081723.23,661811010.81,Sell,16-Dec-2025,59090268.82,MTF,New,Y,N,BKUS,Active,,,,,,,,Physical,N,,,,,,,,EURUSD-H26-CME,100000.0,0.0597,14-Dec-2025,25.0,556337759.18
FXS0050,Summit,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,CUST000050,Catherine Garcia Banking Ltd,Broker,Jacob Perez Banking Ltd,Credit-NY,Derivatives,FxForwards,CNY/DKK,CNY,DKK,0.9755,6717055240.95,6552592624.52,940387733.73,Buy,28-May-2026,33585276.2,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Physical,Y,1.154,26-May-2026,,,,,,,,,,,
FXS0051,FusionCap,04-Oct-2023,04-Oct-2023,04-Oct-2023,Y,CUST000051,Kathryn Sellers Non-Banking Fin Co,Broker,Timothy Price-Price Pvt Ltd Company,Forex-LON,Derivatives,FxSwaps,USD/INR,USD,INR,94.6845,489852661.54,46381453962.04,489852661.54,Buy,06-Jan-2024,4898526.62,OTC,New,Y,Y,BKUS,Rebalance,04-Oct-2023,04-Jan-2024,94.6845,88.1325,489852661.54,43171916506.35,-6.552,Cash,Y,,,,,,,,,,,,,
FXS0052,FusionCap,02-Oct-2024,02-Oct-2024,02-Oct-2024,Y,CUST000052,Anne Patel Pub Ltd Company,Broker,Stephen Collins Banking Ltd,FixedIncome-HK,Derivatives,FxSwaps,ZAR/GBP,ZAR,GBP,0.0448,16583001607.5,743562712.01,928648090.02,Buy,04-Oct-2025,82915008.04,OTC,New,Y,Y,BKUS,Passive,02-Oct-2024,02-Oct-2025,0.0448,0.0464,16583001607.5,769623049.15,0.0016,Cash,Y,,,,,,,,,,,,,
FXS0053,Sophis,14-Nov-2025,14-Nov-2025,14-Nov-2025,Y,CUST000053,Maanas Devi Banking Ltd,OTC,Samantha Davidson Pvt Ltd Company,Forex-NY,Derivatives,FxForwards,VEF/CNY,VEF,CNY,0.543,1196408808.65,649684918.23,95712704.69,Buy,16-Dec-2025,11964088.09,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Physical,Y,0.6163,14-Dec-2025,,,,,,,,,,,
FXS0054,FrontArena,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,CUST000054,Aarav Vora Pub Ltd Company,OTC,Rajeshri Sangha Mutual Fund,Forex-HK,Derivatives,FxOptions,DKK/CAD,DKK,CAD,0.1802,5226984621.87,941742498.65,784047693.28,Buy,13-Nov-2027,52269846.22,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Physical,N,,,Call,0.2149,91717761.49712229,11-Nov-2027,European,,,,,,
